epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 17 59.9990000,,"[0.12871461492977687, -0.009188133190036751]",,"[0.04083794543839758, 0.0038916347912163474]",,,,"[-0.006717510757880518, 0.010479963253601454]","[-0.22387397227475958, -0.012143193007432274]",,"[0.5711902825005382, -0.00012918407355755335]",,"[0.37308022614979564, 0.023462844660571136]","[-0.1576112167338124, -0.013644944003772252]","[0.3093042413929652, 0.01522743497207557]",,,,"[-0.5542753969461955, -0.04692568932205177]",
08 11 15 0 18 29.9990000,,"[0.13196033646454453, 0.006491443069535308]",,"[0.03859339246628224, -0.004489105944230687]",,,,"[-0.007185799022408901, -0.000936576529056765]","[-0.23003438201408244, -0.012320819478645717]",,"[0.5777382411624785, 0.013095917323880713]",,"[0.3789176786326607, 0.011674904965730093]","[-0.16688008952496602, -0.018537745582307252]","[0.33646494710546904, 0.05432141142500768]",,,,"[-0.5742180079150785, -0.03988522193776589]",
08 11 15 0 18 59.9990000,,"[0.14307006481612916, 0.02221945670316927]",,"[0.03858531838795898, -1.6148156646522693e-05]",,,,"[-0.017996793572820025, -0.021621989100822248]","[-0.23780150403104017, -0.015534244033915455]",,"[0.577883572207611, 0.00029066209026495926]",,"[0.3788692347534379, -9.688775844551856e-05]","[-0.17218466259555498, -0.010609146141177916]","[0.3349793435995707, -0.0029712070117966505]",,,,"[-0.5927315324465781, -0.03702704906299914]",
08 11 15 0 19 29.9990000,,"[0.14738154576843954, 0.008622961904620752]",,"[0.034007399357506074, -0.009155838060905808]",,,,"[-0.011545721485163085, 0.012902144175313879]","[-0.23787416944242068, -0.00014533082276102505]",,"[0.5804672305562235, 0.005167316697225033]",,"[0.40199297492654296, 0.04624748034621007]","[-0.17914439215667244, -0.013919459122234912]","[0.3504812919118194, 0.031003896624497432]",,,,"[-0.5956462215003739, -0.005829378107591765]",
08 11 15 0 19 59.9990000,,"[0.1504415646813868, 0.006120037825894542]",,"[0.03540418888678687, 0.0027935790585615905]",,,,"[-0.015243582536641043, -0.007395722102955916]","[-0.24665053302965134, -0.017552727174461324]",,"[0.5783357123150381, -0.004263036482370808]",,"[0.412093463002293, 0.020200976151500072]","[-0.19746414235669363, -0.03663950040004238]","[0.35274199274454077, 0.004521401665442681]",,,,"[-0.615282023407417, -0.03927160381408612]",
08 11 15 0 20 29.9990000,,"[0.15426860802836018, 0.007654086693946738]",,"[0.03382169910491939, -0.00316497956373496]",,,,"[-0.009648347375332378, 0.01119047032261733]","[-0.24639216717991985, 0.00051673169946298]",,"[0.5841247212147209, 0.011578017799365625]",,"[0.4156702146524367, 0.0071535033002874115]","[-0.20726589485627755, -0.019603504999167853]","[0.36108236397421933, 0.016680742459357134]",,,,"[-0.6334483690761772, -0.03633269133752037]",
08 11 15 0 20 59.9990000,,"[0.15984769562419388, 0.011158175191667397]",,"[0.035299228235089686, 0.002955058260340593]",,,,"[-0.021072961237223353, -0.02284922772378195]","[-0.2537555927096946, -0.014726851059549517]",,"[0.6053430140891578, 0.04243658574887377]",,"[0.41068859880124364, -0.00996323170238611]","[-0.2278301986207225, -0.041128607528889916]","[0.350174482256989, -0.021815763434460678]",,,,"[-0.6589458442194882, -0.05099495028662204]",
08 11 15 0 21 29.9990000,,"[0.16413495316010085, 0.008574515071813948]",,"[0.03809280848054186, 0.005587160490904353]",,,,"[-0.021307104776497, -0.00046828707854729146]","[-0.25395744097181705, -0.0004036965242448787]",,"[0.616380077508893, 0.02207412683947041]",,"[0.40629638002383217, -0.008784437554822944]","[-0.23634012283525863, -0.017019848429072226]","[0.3606786671534792, 0.021008369792980375]",,,,"[-0.67774195735592, -0.03759222627286363]",
08 11 15 0 21 59.9990000,,"[0.1665732798683166, 0.004876653416431509]",,"[0.038213917881876114, 0.00024221880266850349]",,,,"[-0.01980535340953793, 0.0030035027339181397]","[-0.25833351185110587, -0.008752141758577636]",,"[0.6443320275202495, 0.05590390002271306]",,"[0.422387725705903, 0.03218269136414165]","[-0.24614187533484255, -0.019603504999167853]","[0.34890687561528466, -0.02354358307638904]",,,,"[-0.693978633786628, -0.03247335286141606]",
08 11 15 0 22 29.9990000,,"[0.17280635598217486, 0.01246615222771652]",,"[0.0408540935959536, 0.005280351428154972]",,,,"[-0.022607008326303912, -0.005603309833531966]","[-0.258817947717489, -0.0009688717327662744]",,"[0.6550784312203177, 0.02149280740013637]",,"[0.43277080179359473, 0.020766152175383468]","[-0.25764722761164194, -0.02301070455359877]","[0.35893469816846846, 0.020055645106367592]",,,,"[-0.7090607371205806, -0.03016420666790509]",
08 11 15 0 22 59.9990000,,"[0.17174059538228903, -0.0021315211997716688]",,"[0.04456002754068322, 0.007411867889459245]",,,,"[-0.023632397349501844, -0.0020507780463958625]","[-0.2574776751084755, 0.002680545218026964]",,"[0.6550865047061052, 1.6146971574926283e-05]",,"[0.43767975182572627, 0.009817900064263085]","[-0.2652044283252053, -0.015114401427126722]","[0.3730479304367691, 0.02822646453660127]",,,,"[-0.7257253326083628, -0.033329190975564416]",
08 11 15 0 23 29.9990000,,"[0.17379944750791765, 0.004117704251257237]",,"[0.04540779038961773, 0.0016955256978690159]",,,,"[-0.03127841055720637, -0.015292026415409056]","[-0.257170865749913, 0.000613618717125064]",,"[0.6663011954856302, 0.022429381559049943]",,"[0.43575008229117884, -0.0038593390690948577]","[-0.2773799160913768, -0.024350975532343]","[0.3799026981610041, 0.013709535448469978]",,,,"[-0.7490993635892664, -0.04674806196180725]",
