epoch,G03,G06,G07,G11,G13,G16,G19,G21,G23,G25,G27,G31
08 11 15 0 33 0.0000000,"[0.43675754281381796, -0.18624795936048066]","[-0.6277525365042189, 0.310076381949087]",,,"[-0.07205859807630421, 0.06109411915143248]","[-0.3521476212578514, -0.09419782509406405]","[0.2819095636097093, 0.39883045914272464]","[0.11100729852914809, 1.6872602494433524]","[1.6619214780007798, 0.5241805713002883]","[-0.09413466279705363, -1.1913137825205922]",,"[-2.309968000650406, 0.24388840521375338]"
08 11 15 0 33 30.0000000,"[0.16364000799755285, -0.12120535932481324]","[-0.4842192619728545, 0.42299562313904365]",,,"[-0.39455660668512227, -0.4255878637234378]","[-0.07088486586386944, -0.2916486715277036]","[-0.7324452018054823, -1.0788173967351518]","[-0.9860580757260322, 0.7430886568501593]","[1.4949462033187348, 0.4450454662864409]","[-0.2922056508560975, -1.6628199161961674]",,"[-2.12706179022789, 0.03813686693708102]"
08 11 15 0 34 0.0000000,"[0.09449193688730428, -0.5922382917255167]","[-0.4691860988425711, 0.16298785426964363]",,,"[0.5244361809144413, 0.2762431790431332]","[-0.18844438825423504, -0.08932679941256838]","[0.23241145260011153, -0.283512964223822]","[0.3611976608633995, 0.7941651882603766]","[0.8885149873172242, 1.2484138558929168]","[-0.18716966037948923, -0.3194994421675801]",,"[-2.137767618894577, 0.6885709586242835]"
08 11 15 0 34 30.0000000,"[0.016880773628751733, 0.2681676302105185]","[-0.4377229600834349, -0.38561340055118004]",,,"[-0.030773038541277664, 0.35547231038411375]","[-0.347333041174958, -0.5743032549818357]","[0.3511753315416475, 0.24211196663479007]","[0.26222881227731704, 1.1813092323020102]","[1.4644951737796266, 1.7295564364021025]","[0.23802260632316274, -0.7464698793366551]",,"[-2.265544554591179, 0.4325184347728888]"
08 11 15 0 35 0.0000000,"[-0.025537326311071418, -0.13686668835580384]","[-0.17557584640259538, -0.28349167487273613]",,,"[0.017589574183026535, -0.6627994040648151]","[-0.3451060402827957, -0.49126561035712557]","[-0.3017925535949568, -0.18705226418872678]","[-0.15001892000436784, 2.467670166678727]","[1.6491098693882424, 1.6064537714545928]","[0.07031067783633871, 0.17788509111851458]",,"[-2.8359821498394013, 1.1830006959537664]"
08 11 15 0 35 30.0000000,"[0.0912565669665737, -0.26770837567746675]","[-0.3861446693229178, -0.033935550662378466]",,,"[-0.5425075837721431, -0.24447473982970003]","[-0.3640508997874954, 0.3088390077153842]","[-0.4637903785022597, -0.9888436341037353]","[-0.47224250882864, 1.4664104523137214]","[1.9612335107599694, 3.0822897504394255]","[-0.3087060344715913, 0.2075188366696239]",,"[-1.766649729013443, 0.849012819180886]"
08 11 15 0 36 0.0000000,"[0.34438590022424886, 0.2126217190176245]","[-0.3573055877971152, -0.12016526243338982]",,,"[0.11528693648676036, -0.5390747497479129]","[-0.34929018948848034, 0.25258925507466]","[0.14342898971711593, 0.09684446516136325]","[0.8259199962019921, 3.1414705010131003]","[1.5467391378556687, 2.61670214937379]","[0.27017990822593374, 0.11182785611599688]",,"[-2.081560856103897, 0.6798109682897727]"
08 11 15 0 36 30.0000000,"[0.22937850716213415, 0.32770602442324126]","[-0.2917054161118964, -0.13477634272227684]",,,"[0.25997758420805095, -0.2731157998243976]","[-0.22361353520924832, -0.0031390940149624846]","[0.2641023779598375, -0.11699601945777738]","[-0.7552585944533348, 2.4801343621686103]","[1.4820519454156358, 3.6345532189433776]","[0.4194165127972762, -0.00810968298465009]",,"[-2.0179159551858903, 0.11011272395650545]"
08 11 15 0 37 0.0000000,"[-0.27121751693387797, 0.20940466262400115]","[0.17120403650527205, 0.07445025065292915]",,,"[-0.4752904870857799, 0.4420535256465268]","[-0.07688026611382748, -0.2291999613245328]","[-0.47067167513693375, -0.3718500131120285]","[0.29362819641828536, 1.7533931674435737]","[1.7621537215386827, 2.00218022869279]","[-0.042274062087138464, -0.044061654992401555]",,"[-1.7613103896379472, -0.29441549157102903]"
08 11 15 0 37 30.0000000,"[-0.14286927816768458, -0.23424202166497743]","[-0.13372817036385332, 0.051485400584836805]",,,"[0.3041124245772755, 0.5264082243045163]","[0.3587562989753983, -0.45781648208697634]","[-0.01513991408670945, -1.239414676403006]","[0.7681684747338295, 2.379757726378739]","[1.2818428642426927, 1.6830761830632888]","[0.2252406733731429, -0.6262929083779454]",,"[-1.6752743482589723, 0.31517369771997134]"
08 11 15 0 38 0.0000000,"[-0.2598230460037785, 0.40207473970949614]","[-0.06403958943362031, 0.078887280014654]",,,"[-0.49368114260335805, -0.07754929463068727]","[0.06426064188902592, -0.5073209707935651]","[-0.8066614037069182, -0.2039567970981201]","[0.24815864413976668, 1.4930384697392585]","[0.28260654875387736, 0.9859712223832808]","[-0.11475915138920145, -0.6678832711651921]",,"[-1.405190533399582, 0.3929931047062079]"
08 11 15 0 38 30.0000000,"[-0.1377671876301365, 0.864452854171395]","[-0.23034045246119295, -0.36896796903262535]",,,"[-0.04832222548623921, -0.12062616745630983]","[0.014691653506209601, -0.44100126673777895]","[-0.5247828429254393, -0.09635481176277005]","[0.34104798287153243, 2.5130902172997596]","[1.029850415078302, 1.4704050819699965]","[-0.36458670025070505, -0.6700007261708378]",,"[-1.8610341608524323, 0.31098018313447634]"
