epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 11 59.9990000,,"[0.20217007771134377, -0.020528830587863922]",,"[0.16530968993902206, 0.21598157286643982]",,,,"[0.11214010789990425, -0.6999351419508457]","[-0.17601661011576653, -0.1911831684410572]",,"[-0.34141289815306664, 0.07450053840875626]",,"[0.14675572514533997, 1.0072537325322628]","[-0.24981242790818214, 0.3523145951330662]","[0.4263143539428711, 0.4306819401681423]",,,,"[-0.5119268111884594, 0.36868371814489365]",
08 11 15 0 12 29.9990000,,"[-0.1865345798432827, -0.055410806089639664]",,"[0.04360673576593399, 0.005686793476343155]",,,,"[-0.20416191592812538, -0.04659650847315788]","[-0.3553519695997238, -0.4088772162795067]",,"[-0.312272846698761, 0.01905156672000885]",,"[-0.27664218842983246, -0.7411508895456791]","[0.04034281149506569, 0.5763271190226078]","[0.7453251928091049, 0.25223253667354584]",,,,"[0.2596202790737152, 0.6377139091491699]",
08 11 15 0 12 59.9990000,,"[0.11767619848251343, 0.22520940005779266]",,"[0.21026809141039848, 0.4247743897140026]",,,,"[0.2859785035252571, 0.11193083971738815]","[0.05905715003609657, -0.08346809819340706]",,"[-0.5046153925359249, -0.7754378281533718]",,"[0.08844273909926414, -0.2195134498178959]","[-0.10956491529941559, 0.47730742767453194]","[0.28651082143187523, -0.16691897436976433]",,,,"[0.33276158198714256, -0.03489452973008156]",
08 11 15 0 13 29.9990000,,"[0.09609586745500565, 0.7660328224301338]",,"[0.01020779088139534, 0.14935031905770302]",,,,"[0.02916332706809044, -0.14467567205429077]","[-0.09106961637735367, 0.12218917533755302]",,"[-0.4716547280550003, -0.7747763134539127]",,"[-0.41585246101021767, 0.4991818368434906]","[-0.12372671440243721, 0.9711611829698086]","[0.3623474910855293, -0.3781105540692806]",,,,"[0.22882429882884026, 0.08353202417492867]",
08 11 15 0 13 59.9990000,,"[0.129084050655365, 0.4601532518863678]",,"[0.19815746322274208, -0.27040601149201393]",,,,"[-0.11477184295654297, 0.2275261990725994]","[0.013068810105323792, 0.3887576796114445]",,"[-0.34502462670207024, 0.12580423057079315]",,"[0.036739595234394073, 0.5336146540939808]","[-0.0064895786345005035, 0.6339118219912052]","[0.5206855274736881, -1.2380776479840279]",,,,"[0.27744434028863907, -0.12098077684640884]",
08 11 15 0 14 29.9990000,,"[0.1420186199247837, 0.21758700907230377]",,"[-0.04024592041969299, -0.0897722914814949]",,,,"[-0.3347789831459522, 0.5983109809458256]","[-0.019050370901823044, -0.03362186998128891]",,"[0.20742717757821083, -0.24885503947734833]",,"[0.9151730239391327, 0.5438302010297775]","[-0.05045687034726143, 0.37251828238368034]","[0.6622711010277271, -0.6104929633438587]",,,,"[0.08458961918950081, 0.18974053859710693]",
08 11 15 0 14 59.9990000,,"[-0.25633229687809944, -0.08944454044103622]",,"[0.386002354323864, 0.22834085300564766]",,,,"[-0.2549978904426098, 0.45830169692635536]","[-0.0028724223375320435, 0.030723877251148224]",,"[0.708222933113575, -0.2102264203131199]",,"[0.26556146517395973, 0.2264615297317505]","[0.3869977183640003, 0.5360277518630028]","[0.6421060860157013, -1.2353925295174122]",,,,"[0.17751892656087875, -0.6999650597572327]",
08 11 15 0 15 29.9990000,,"[-0.030990302562713623, 0.2868286445736885]",,"[0.06105652078986168, 0.19259483367204666]",,,,"[0.45488201826810837, 0.45120003819465637]","[-0.1745348647236824, 0.2015419602394104]",,"[0.3275998570024967, 0.5933778956532478]",,"[0.6673628911376, 0.6131653003394604]","[0.38304823637008667, 0.2006647102534771]","[0.2306843250989914, -0.33687933906912804]",,,,"[0.36052897572517395, 0.20463401079177856]",
08 11 15 0 15 59.9990000,,"[0.07140008732676506, 0.3658733293414116]",,"[0.05084400251507759, 0.509847279638052]",,,,"[-0.39308466762304306, 0.109253641217947]","[-0.046880338340997696, 0.21429768204689026]",,"[0.09780383855104446, 0.5587090402841568]",,"[0.15662400424480438, -0.024554625153541565]","[0.3670520484447479, -0.11864989623427391]","[-1.179163582623005, -0.27438412979245186]",,,,"[-0.11176926642656326, -0.6951795741915703]",
08 11 15 0 16 29.9990000,,"[0.3509500101208687, -0.1828780397772789]",,"[-0.04155182093381882, -0.21113941445946693]",,,,"[-0.22957368567585945, -0.16692552343010902]","[0.07963291928172112, -0.02054966241121292]",,"[-0.05114993080496788, 0.3444586992263794]",,"[-0.30125900730490685, -0.21942303702235222]","[0.017950300127267838, 0.38063912466168404]","[-0.6097124814987183, -0.9248287305235863]",,,,"[-0.18350250646471977, 0.006031714379787445]",
08 11 15 0 16 59.9990000,,"[0.3024708740413189, 0.14090510085225105]",,"[0.032594334334135056, 0.22100136056542397]",,,,"[0.03566453233361244, 0.42095592990517616]","[-0.36620986834168434, 0.5002320520579815]",,"[0.09252357482910156, 0.12619437649846077]",,"[0.5677420981228352, -0.2154340147972107]","[0.10805058479309082, 0.6212465576827526]","[-0.01842421293258667, 0.11061907187104225]",,,,"[-0.1643334962427616, 0.09582367539405823]",
08 11 15 0 17 29.9990000,,"[0.012333102524280548, 0.28601279854774475]",,"[0.2502017877995968, -0.026197724044322968]",,,,"[-0.26807180792093277, 0.17193666100502014]","[-0.0854523628950119, 0.4288192503154278]",,"[-0.27903125435113907, 0.3398783802986145]",,"[-0.8552470467984676, 0.10313215479254723]","[-0.17701881751418114, 0.10225548222661018]","[0.08382479846477509, -0.164470374584198]",,,,"[-0.29898957908153534, 0.08152125403285027]",
08 11 15 0 17 59.9990000,,"[0.1436290442943573, 0.08750411495566368]",,"[0.11464571207761765, 0.49101054295897484]",,,,"[-0.20883820950984955, -0.040771398693323135]","[-0.31269338354468346, 0.11619321256875992]",,"[0.1513437256217003, 0.520227987319231]",,"[0.34813499823212624, -0.06787752360105515]","[-0.003303900361061096, 0.17129043862223625]","[-0.14398765191435814, 0.1687079556286335]",,,,"[0.1286378987133503, -0.09806782379746437]",
08 11 15 0 18 29.9990000,,"[0.3493862934410572, 0.3695363365113735]",,"[0.053493279963731766, 0.06997642293572426]",,,,"[0.09700499475002289, 0.07388785853981972]","[-0.46563246473670006, 0.3558342382311821]",,"[0.014118485152721405, 0.897574882954359]",,"[0.007785264402627945, -0.994934219866991]","[0.17944004014134407, -0.028606578707695007]","[0.12382739409804344, 0.21619212999939919]",,,,"[-0.19150561094284058, 0.6879549063742161]",
08 11 15 0 18 59.9990000,,"[0.465131476521492, 0.42264558374881744]",,"[0.2696579620242119, 0.1101379357278347]",,,,"[0.19784700497984886, -0.15051685646176338]","[-0.2720577158033848, 0.08935793861746788]",,"[-0.1416841521859169, 0.8278293311595917]",,"[-0.5302145406603813, 0.21704695001244545]","[0.1521655134856701, 0.21903517842292786]","[-0.27231670171022415, -0.3635355308651924]",,,,"[-0.21728112921118736, 0.5679070018231869]",
08 11 15 0 19 29.9990000,,"[0.012524675577878952, 0.10073239728808403]",,"[0.1113537885248661, -0.1749645136296749]",,,,"[-0.5170790664851665, 0.2470911480486393]","[-0.14626748114824295, 0.5551196299493313]",,"[0.010184790939092636, 0.14871317148208618]",,"[0.10935704037547112, 0.29470187798142433]","[0.043802421540021896, -0.16806179657578468]","[-0.49320852011442184, -0.29633795097470284]",,,,"[-0.49733907729387283, 0.01770411804318428]",
08 11 15 0 19 59.9990000,,"[-0.0800245851278305, 0.14238516241312027]",,"[0.16946041211485863, 0.2206907868385315]",,,,"[-0.6717097572982311, 0.5210078805685043]","[-0.1329243741929531, 0.42401525005698204]",,"[-0.042857490479946136, 0.09783359989523888]",,"[-0.5426200516521931, -0.2203075885772705]","[0.1660308726131916, 0.5399703793227673]","[0.2143121361732483, -0.2959292568266392]",,,,"[-0.2565186433494091, 0.32481131702661514]",
08 11 15 0 20 29.9990000,,"[-0.10338830947875977, 0.1715247519314289]",,"[-0.18179871886968613, 0.05081002786755562]",,,,"[-0.18685928359627724, 0.5270562507212162]","[0.17996198311448097, 0.17800309509038925]",,"[0.3822651728987694, 0.29923027753829956]",,"[-0.4393948204815388, 0.48632264509797096]","[0.4097115136682987, 0.40080074593424797]","[-0.01410045474767685, 0.025934379547834396]",,,,"[-0.0780249796807766, 0.5281689651310444]",
08 11 15 0 20 59.9990000,,"[0.06918435171246529, 0.12728896737098694]",,"[-0.10031412914395332, -0.11312498524785042]",,,,"[0.26275666430592537, -0.29281556233763695]","[-0.2563270069658756, 0.10982164368033409]",,"[0.0035592876374721527, 0.20985925197601318]",,"[-0.34978123009204865, 0.3309793844819069]","[0.5470873452723026, 0.5420986078679562]","[0.5499243997037411, -0.08132554963231087]",,,,"[-0.22642238438129425, 0.9547557719051838]",
08 11 15 0 21 29.9990000,,"[-0.13866109773516655, -0.15687237679958344]",,"[0.08500025421380997, 0.5462867543101311]",,,,"[-0.004865054041147232, -0.18952925130724907]","[0.19196009635925293, 0.742029458284378]",,"[-0.3845665007829666, -0.23593101277947426]",,"[-0.06905531138181686, 0.2039799764752388]","[0.26177921146154404, 0.08944765478372574]","[0.45901207253336906, -0.04011167585849762]",,,,"[0.11576861143112183, 0.4145633727312088]",
08 11 15 0 21 59.9990000,,"[0.024953283369541168, 0.0036998093128204346]",,"[0.1107071191072464, 0.29504119604825974]",,,,"[0.17059263214468956, -0.1924816556274891]","[0.0020089633762836456, 0.16435933858156204]",,"[0.3142308108508587, 0.2818462438881397]",,"[-0.4402891732752323, -0.09793297201395035]","[-0.11199094727635384, 0.41082722693681717]","[0.38273387029767036, -0.695014014840126]",,,,"[-0.38717400655150414, 0.2992427460849285]",
08 11 15 0 22 29.9990000,,"[-0.02564242109656334, 0.13055254518985748]",,"[0.41507912427186966, 0.4794503003358841]",,,,"[0.29849589988589287, 0.48432107642292976]","[0.08817914873361588, 0.14333923161029816]",,"[-0.1789635233581066, 0.32887325435876846]",,"[-0.3192151226103306, -0.06278029084205627]","[0.1684059128165245, -0.34129539504647255]","[-0.16241268441081047, -0.3852214887738228]",,,,"[-0.21834569796919823, -0.8068534173071384]",
08 11 15 0 22 59.9990000,,"[0.0034108832478523254, 0.2541872076690197]",,"[0.06700142472982407, 0.18382835015654564]",,,,"[0.05719710513949394, 0.223619494587183]","[-0.082540113478899, 0.2661464437842369]",,"[-0.026519298553466797, 0.09832065552473068]",,"[0.06289692595601082, 0.14926007017493248]","[0.11326340213418007, -0.21540648862719536]","[-0.20485099032521248, 0.17188409343361855]",,,,"[0.24527959525585175, -0.9977742321789265]",
08 11 15 0 23 29.9990000,,"[0.033501747995615005, 0.5890868157148361]",,"[-0.18869972974061966, -0.28653978928923607]",,,,"[-0.023566916584968567, -0.3101479932665825]","[-0.07583300396800041, 0.05897407978773117]",,"[0.22345689684152603, 0.18070214986801147]",,"[-0.2956993095576763, -0.003094170242547989]","[-0.23279069364070892, -0.3862432949244976]","[-0.5828226841986179, 0.03160505369305611]",,,,"[-0.05988560989499092, -1.129121109843254]",
08 11 15 0 23 59.9990000,,"[0.2368617206811905, 0.13807697221636772]",,"[-0.06252561509609222, 0.2261449433863163]",,,,"[-0.03819691762328148, -0.5136406607925892]","[-0.09073834121227264, 0.33037925511598587]",,"[-0.3223915435373783, -0.0767216682434082]",,"[0.6324773840606213, -0.2996339537203312]","[0.17875771969556808, -0.07944779470562935]","[-0.3120807781815529, 0.26589755341410637]",,,,"[0.18973593041300774, -0.27144019305706024]",
08 11 15 0 24 29.9990000,,"[0.10925517231225967, 0.4404218941926956]",,"[-0.4861706718802452, -0.12585628405213356]",,,,"[0.26205356791615486, -0.37970607355237007]","[0.14476804807782173, -0.10019585862755775]",,"[0.22602636367082596, 0.03132922947406769]",,"[0.571063794195652, -0.18028570339083672]","[-0.22142408415675163, -0.29033493995666504]","[-0.31421495974063873, 0.08442239835858345]",,,,"[0.27561797201633453, 0.2885373532772064]",
08 11 15 0 24 59.9990000,,"[0.1103610172867775, 0.03229908645153046]",,"[0.07128273323178291, 0.28532466664910316]",,,,"[-0.07632216811180115, -0.5299771539866924]","[-0.06587828695774078, -0.023912925273180008]",,"[0.24264689534902573, -0.6667105853557587]",,"[0.4454121105372906, 0.3366829790174961]","[-0.3866151496767998, -0.26704105734825134]","[-0.495578832924366, -0.41584890335798264]",,,,"[0.2215355448424816, 0.5975294932723045]",
08 11 15 0 25 29.9990000,,"[0.1878044307231903, 0.6046254560351372]",,"[0.1050279252231121, 0.34936893731355667]",,,,"[0.20468800142407417, -0.2930706851184368]","[-0.21118154004216194, 0.22807752341032028]",,"[-0.3065805584192276, -0.3758939392864704]",,"[-0.176254503428936, 0.6854530870914459]","[-0.23987563326954842, 0.16598138585686684]","[0.044977784156799316, -0.2093995288014412]",,,,"[0.17381292209029198, -0.2641407623887062]",
08 11 15 0 25 59.9990000,,"[-0.00862119346857071, 0.14968065172433853]",,"[-0.06399494782090187, 0.14485764503479004]",,,,"[0.43616123497486115, -0.7028248459100723]","[-0.25302619114518166, 0.09422210231423378]",,"[0.3472636453807354, 0.0159083753824234]",,"[-0.06609030440449715, 0.11651129275560379]","[0.11077051609754562, 0.5477550625801086]","[0.6435402780771255, -0.4474513567984104]",,,,"[-0.026015669107437134, 0.4295315258204937]",
08 11 15 0 26 29.9990000,,"[0.28244613111019135, 0.13983294367790222]",,"[-0.05929836258292198, 0.44130714610219]",,,,"[-0.3806232549250126, 0.04075096920132637]","[0.04114460200071335, 0.36629996076226234]",,"[0.020881205797195435, 0.3749423064291477]",,"[0.33602625876665115, 0.16764408349990845]","[0.15692650899291039, 0.20438332483172417]","[0.017230670899152756, 0.2361898422241211]",,,,"[0.2213568352162838, -0.18476038053631783]",
08 11 15 0 26 59.9990000,,"[0.1405223198235035, -0.20232777297496796]",,"[0.07490364462137222, 0.3275681547820568]",,,,"[0.00042070820927619934, -0.23157614096999168]","[-0.19524188339710236, -0.1698213703930378]",,"[0.6082100085914135, -0.44590524956583977]",,"[1.0520119406282902, 1.3928514756262302]","[0.14514664188027382, -0.10860269889235497]","[-0.09478693827986717, 0.3028299994766712]",,,,"[0.10085484758019447, -0.1784399151802063]",
08 11 15 0 27 29.9990000,,"[0.16629348695278168, 0.020736437290906906]",,"[-0.02244814857840538, 0.5761636979877949]",,,,"[-0.13682648167014122, -0.6752492785453796]","[-0.09426805004477501, 0.2698584645986557]",,"[0.21485096588730812, 0.03806327283382416]",,"[-0.7762198746204376, 0.26412777230143547]","[0.27072010561823845, 0.46270472183823586]","[0.20301605388522148, 0.40360408648848534]",,,,"[0.22818955034017563, -0.04092184454202652]",
08 11 15 0 27 59.9990000,,"[0.10680700838565826, 0.281253419816494]",,"[0.23618267476558685, 0.060557615011930466]",,,,"[-0.0008091144263744354, 0.18552417680621147]","[-0.0459718257188797, 0.5472961589694023]",,"[-0.0363621860742569, 0.6395602524280548]",,"[-0.49589091539382935, 0.5584212504327297]","[0.020649854093790054, 0.979966226965189]","[-0.121213149279356, -0.09633554890751839]",,,,"[-0.35970232263207436, 0.7316179722547531]",
08 11 15 0 28 29.9990000,,"[0.3413502275943756, 0.059338971972465515]",,"[-0.0038182586431503296, 0.4050907604396343]",,,,"[0.0785103291273117, -0.05052871257066727]","[-0.20468465611338615, -0.040769677609205246]",,"[0.2547804266214371, -0.021022822707891464]",,"[0.0653877891600132, -0.13168445974588394]","[0.12072964757680893, 0.9629803746938705]","[0.238278366625309, 0.3402719870209694]",,,,"[0.14277059212327003, 0.1559748612344265]",
