epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 23 0.0000000,"[0.1679862187429535, 0.007024322783763637]",,"[0.04872617448654637, -0.0016147872829606058]",,,,"[-0.0028743206057697535, -0.006927435286343098]","[-0.24437368174221774, -0.002422176181426039]",,"[0.6558373802417918, 0.03659105829865439]",,"[0.4192065970942167, 0.017278213019380928]",,"[-0.2519228113233112, -0.011109730694442987]","[0.052690476819407195, 0.014468484907411039]",,,"[-0.7273078235766661, -0.044374330251230276]",
08 11 15 0 23 30.0000000,"[0.16805888426551974, 0.00014533104513247963]",,"[0.052981134518631734, 0.008509920064170728]",,,,"[0.0017197472043335438, 0.009188135620206594]","[-0.24718341014522593, -0.005619456806016387]",,"[0.6539803753403248, -0.0037140098029340156]",,"[0.42390562493346806, 0.009398055678502715]",,"[-0.2562585109844804, -0.008671399322338402]","[0.06225001183338463, 0.019119070027954876]",,,"[-0.7470001410702025, -0.039384634987072786]",
08 11 15 0 24 0.0000000,"[0.16862405791744095, 0.0011303473038424272]",,"[0.051858857736988284, -0.0022445535632868996]",,,,"[-0.004618289414793253, -0.012676073238253593]","[-0.2489919717590965, -0.0036171232277411036]",,"[0.6666725970280822, 0.02538444337551482]",,"[0.42725630771565193, 0.006701365564367734]",,"[-0.2731007332331501, -0.03368444449733943]","[0.0764116877107881, 0.028323351754806936]",,,"[-0.7614282564800305, -0.028856230819656048]",
08 11 15 0 24 30.0000000,"[0.17495402178974473, 0.012659927744607558]",,"[0.054878510998605634, 0.0060393065232347]",,,,"[-0.0027370634488761425, 0.003762451931834221]","[-0.24957329475364531, -0.0011626459890976548]",,"[0.683539039147945, 0.033732884239725536]",,"[0.4324559183560268, 0.01039922128074977]",,"[-0.2807225236319937, -0.015243580797687173]","[0.08434836193919182, 0.015873348456807435]",,,"[-0.7851252458658564, -0.047393978771651746]",
08 11 15 0 25 0.0000000,"[0.17189400406186905, -0.006120035455751349]",,"[0.055266059662244515, 0.0007750973272777628]",,,,"[-0.000702432356774807, 0.004069262184202671]","[-0.25459528159080946, -0.0100439736743283]",,"[0.7000502289192809, 0.03302237954267184]",,"[0.4241397696587228, -0.01663229739460803]",,"[-0.2962486947653815, -0.031052342266775668]","[0.09388367552310228, 0.01907062716782093]",,,"[-0.7920284586543858, -0.01380642557705869]",
08 11 15 0 25 30.0000000,"[0.17229769614095858, 0.0008073841581790475]",,"[0.058431039227798465, 0.006329959131107898]",,,,"[-0.001372568542137742, -0.0013402723707258701]","[-0.2501384707775287, 0.008913621626561508]",,"[0.7139293176478532, 0.027758177457144484]",,"[0.4218629209649407, -0.004553697387564171]",,"[-0.2944562812917866, 0.0035848269471898675]","[0.10248241218505427, 0.017197473323903978]",,,"[-0.8142398436448275, -0.04442276998088346]",
08 11 15 0 26 0.0000000,"[0.173201978725956, 0.0018085651699948357]",,"[0.05823726370999793, -0.00038755103560106363]",,,,"[-0.001542121870443225, -0.00033910665661096573]","[-0.2575584139322018, -0.014839886309346186]",,"[0.7268153124823584, 0.02577198966901051]",,"[0.4243416174763297, 0.004957393022777978]",,"[-0.30747953307582065, -0.026046503568068147]","[0.1134064418147318, 0.021848059259355068]",,,"[-0.8400844988364042, -0.0516893103831535]",
08 11 15 0 26 30.0000000,"[0.18032318571113137, 0.014242413970350754]",,"[0.06278288820431044, 0.009091248988625011]",,,,"[0.004045039182528853, 0.011174322105944157]","[-0.25679946476157056, 0.0015178983412624802]",,"[0.7430681352925603, 0.03250564562040381]",,"[0.4311237196775437, 0.013564204402428004]",,"[-0.30848877516109496, -0.002018484170548618]","[0.12813329306663945, 0.029453702503815293]",,,"[-0.8471491884565694, -0.014129379240330309]",
08 11 15 0 27 0.0000000,"[0.17945927470464085, -0.0017278220129810506]",,"[0.06104699329807772, -0.003471789812465431]",,,,"[-0.00012111011892557144, -0.00833229860290885]","[-0.2617810788360657, -0.00996322814899031]",,"[0.7400646337446233, -0.006007003095874097]",,"[0.40033781962119974, -0.061571800112687924]",,"[-0.31811290147015825, -0.01924825261812657]","[0.1336235660710372, 0.0109805460087955]",,,"[-0.8712175771634065, -0.04813677741367428]",
08 11 15 0 27 30.0000000,"[0.18822756765894155, 0.01753658590860141]",,"[0.0678452418778761, 0.013596497159596765]",,,,"[-0.008211188716813922, -0.0161801571957767]","[-0.25720316039769386, 0.009155836876743706]",,"[0.7615655128538492, 0.04300175821845187]",,"[0.4085086384588976, 0.01634163767539576]",,"[-0.3238534659030847, -0.011481128865852952]","[0.1382902983459644, 0.009333464549854398]",,,"[-0.8866953050173834, -0.03095545570795366]",
08 11 15 0 28 0.0000000,"[0.1864593764375968, -0.0035363824426895007]",,"[0.06519699623459019, -0.005296491286571836]",,,,"[-0.0025836583226919174, 0.011255060788244009]","[-0.2648976163000043, -0.015388911804620875]",,"[0.7624617189885612, 0.0017924122694239486]",,"[0.3958890834783233, -0.025239109961148642]",,"[-0.332710568967741, -0.017714206129312515]","[0.14155216701328754, 0.006523737334646285]",,,"[-0.9065329535560522, -0.039675297077337746]",
08 11 15 0 28 30.0000000,"[0.19236141769670212, 0.011804082518210635]",,"[0.06986372598203161, 0.009333459494882845]",,,,"[-0.01399212353862822, -0.022816930431872606]","[-0.2660279683459521, -0.0022607040918956045]",,"[0.7842451872948004, 0.04356693661247846]",,"[0.38692701915670114, -0.01792412864324433]",,"[-0.3347048296709545, -0.003988521406427026]","[0.1478659810964018, 0.012627628166228533]",,,"[-0.9276705074225902, -0.042275107733075856]",
08 11 15 0 29 0.0000000,"[0.19702007454998238, 0.009317313706560526]",,"[0.0710586682862413, 0.0023898846084193792]",,,,"[-0.02309951838105917, -0.0182147896848619]","[-0.2741503433044272, -0.01624474991695024]",,"[0.7901068605315231, 0.011723346473445417]",,"[0.3806858701495912, -0.01248229801421985]",,"[-0.34981115703703836, -0.030212654732167724]","[0.1526215270278044, 0.009511091862805188]",,,"[-0.9517065998143153, -0.04807218478345021]",
08 11 15 0 29 30.0000000,"[0.20684605402766465, 0.019651958955364535]",,"[0.07549125567857118, 0.008865174784659757]",,,,"[-0.021105256397277117, 0.003988523967564106]","[-0.2826037483755499, -0.016906810142245376]",,"[0.8015233991282003, 0.022833077193354256]",,"[0.3773755583538332, -0.0066206235915160505]",,"[-0.345152496593073, 0.009317320887930691]","[0.156359757296741, 0.007476460537873209]",,,"[-0.9687345223219381, -0.03405584501524572]",
08 11 15 0 30 0.0000000,"[0.20797640133241657, 0.002260694609503844]",,"[0.07919719258734403, 0.007411873817545711]",,,,"[-0.016890664352104068, 0.008429184090346098]","[-0.29478731022027205, -0.02436712368944427]",,"[0.8179861456119397, 0.03292549296747893]",,"[0.36444111964010517, -0.025868877427456027]",,"[-0.35581008723238483, -0.02131518127862364]","[0.14848767372313887, -0.01574416714720428]",,,"[-0.990622951278965, -0.043776857914053835]",
08 11 15 0 30 30.0000000,"[0.21547708408797916, 0.015001365511125186]",,"[0.08051324251573533, 0.002632099856782588]",,,,"[-0.009503017645329237, 0.014775293413549662]","[-0.30315190279725357, -0.016729185153963044]",,"[0.8326403328537708, 0.029308374483662192]",,"[0.36390016644554635, -0.0010819063891176484]",,"[-0.3563429669011384, -0.0010657593375071883]","[0.16704156837658957, 0.037107789306901395]",,,"[-0.9999564166992059, -0.018666930840481655]",
08 11 15 0 31 0.0000000,"[0.22518195119937445, 0.019409734222790576]",,"[0.08714193900050304, 0.013257392969535431]",,,,"[-0.006765955360606313, 0.0054741245694458485]","[-0.3093284615461016, -0.012353117497696076]",,"[0.8387603718656464, 0.012240078023751266]",,"[0.35163586499947996, -0.024528602892132767]",,"[-0.36490940675139427, -0.017132879700511694]","[0.19379050348652527, 0.0534978702198714]",,,"[-1.0148528203735623, -0.029792807348712813]",
