epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 16 30.0000000,,"[0.12387833093862355, -0.005958560995168227]",,"[0.05136635208946316, -0.007912452913977575]",,,,"[0.04060380145443787, 0.011190469135954118]","[-0.21232017637885292, -0.013273543496325146]",,"[0.5601935882891667, -0.007056616727368237]",,"[0.3146491839943337, 0.003423346955969464]","[-0.12411247486716093, -0.02559436282808747]","[0.2919129931063793, -0.0030196500019314954]",,,"[-0.5010197446408711, -0.04881498994291178]",
08 11 15 0 17 0.0000000,,"[0.13398689324094448, 0.020217124604641867]",,"[0.051996118815586634, 0.0012595334522469415]",,,,"[0.02000720211628959, -0.04119319867629656]","[-0.21799615010422713, -0.011351947450748412]",,"[0.5634877522240913, 0.006588327869849309]",,"[0.3135753511051007, -0.0021476657784660347]","[-0.12524282528329422, -0.0022607008322665934]","[0.31192826900498005, 0.0400305517972015]",,,"[-0.5273246134256624, -0.05260973756958265]",
08 11 15 0 17 30.0000000,,"[0.12803640558377083, -0.011900975314347306]",,"[0.050534737249360084, -0.002922763132453099]",,,,"[0.01148920471217707, -0.01703599480822504]","[-0.23075296205024642, -0.025513623892038595]",,"[0.564828024981125, 0.0026805455140674894]",,"[0.29679772146846517, -0.033555259273271076]","[-0.14473329584825478, -0.03898094112992112]","[0.3255974350966895, 0.027338332183418856]",,,"[-0.5406466008025745, -0.026643974753824295]",
08 11 15 0 18 0.0000000,,"[0.14418426833481135, 0.03229572550208104]",,"[0.054741255551428836, 0.008413036604137503]",,,,"[0.008501849839490205, -0.00597470974537373]","[-0.2349998499303183, -0.008493775760143762]",,"[0.5756955366014154, 0.02173502324058063]",,"[0.30616348200055654, 0.018731521064182743]","[-0.14059944288374027, 0.008267705929029034]","[0.32040589705300704, -0.010383076087364884]",,,"[-0.5481957265492383, -0.015098251493327554]",
08 11 15 0 18 30.0000000,,"[0.14515313999299906, 0.0019377433163754174]",,"[0.049913044453723465, -0.009656422195410741]",,,,"[9.688716585287693e-05, -0.016809925347274657]","[-0.23441045300569385, 0.0011787938492489047]",,"[0.5758247197854871, 0.00025836636814347]",,"[0.30114149661312695, -0.01004397077485919]","[-0.15287181877920375, -0.024544751790926966]","[0.3388871263073625, 0.03696245850871094]",,,"[-0.5576422264039138, -0.01889299970935099]",
08 11 15 0 19 0.0000000,,"[0.13736179633269785, -0.015582687320602417]",,"[0.05777705371069164, 0.015728018513936348]",,,,"[0.006152335771560047, 0.01211089721141434]","[-0.23805179624650918, -0.0072826864816306625]",,"[0.5763898949196573, 0.0011303502683404076]",,"[0.32747866112549673, 0.05267432902473956]","[-0.1600333960095668, -0.014323154460726073]","[0.34493450098261036, 0.012094749350495704]",,,"[-0.5809920357405645, -0.0466996186733013]",
08 11 15 0 19 30.0000000,,"[0.13568241879147536, -0.0033587550824449863]",,"[0.05606538022529506, -0.003423346970793162]",,,,"[-0.009252725522912897, -0.030810122588945887]","[-0.24270238050303305, -0.009301168513047742]",,"[0.6066186942171043, 0.06045759859489407]",,"[0.3399528852714866, 0.02494844829197973]","[-0.1737025619531778, -0.02733833188722201]","[0.3657006527128104, 0.041532303460400044]",,,"[-0.6139094546306296, -0.06583483778013033]",
08 11 15 0 20 0.0000000,,"[0.1505061566463155, 0.029647475709680297]",,"[0.05907695666718915, 0.006023152883788185]",,,,"[-0.02368891501083681, -0.028872378975847823]","[-0.24437368426333705, -0.0033426075206079986]",,"[0.6177687938488816, 0.022300199263554532]",,"[0.3334614443592727, -0.01298288182442775]","[-0.1799033414558835, -0.0124015590054114]","[0.3737099929408032, 0.016018680455985645]",,,"[-0.6297101382224355, -0.03160136718361173]",
08 11 15 0 20 30.0000000,,"[0.15241160453751945, 0.003810895782407897]",,"[0.057050399892821346, -0.00405311354873561]",,,,"[-0.012845625033946817, 0.021686579953779983]","[-0.2549828304036055, -0.021218292280536843]",,"[0.620134455629568, 0.004731323561372847]",,"[0.37992692006446305, 0.09293095141038066]","[-0.19206268217612887, -0.024318681440490764]","[0.3869270184807334, 0.02643405107986041]",,,"[-0.6388417552334431, -0.01826323402201524]",
08 11 15 0 21 0.0000000,,"[0.15799069124477683, 0.01115817341451475]",,"[0.05147938719036382, -0.011142025404915046]",,,,"[-0.015913719063291865, -0.006136188058690095]","[-0.25757456253450073, -0.005183464261790505]",,"[0.6170582879660742, -0.006152335326987668]",,"[0.4100023148494074, 0.06015078956988872]","[-0.21184381446119005, -0.03956226457012235]","[0.375615440239244, -0.022623156482978857]",,,"[-0.6554579065450525, -0.03323230262321886]",
08 11 15 0 21 30.0000000,,"[0.15940362952414944, 0.0028258765587452217]",,"[0.051858861923227195, 0.0007589494657267437]",,,,"[-0.0002664397060812007, 0.03129455871442133]","[-0.26761045916646253, -0.02007179326392361]",,"[0.6127064389893349, -0.008703697953478695]",,"[0.41784210232435726, 0.01567957494989969]","[-0.21757630584716026, -0.011464982771940413]","[0.3742993900144924, -0.0026321004495031275]",,,"[-0.6760868005676457, -0.04125778804518632]",
08 11 15 0 22 0.0000000,,"[0.1684060630541353, 0.01800486705997173]",,"[0.05177004868787627, -0.00017762647070185267]",,,,"[0.005466051532039273, 0.011464982476240948]","[-0.2688215490361472, -0.0024221797393693123]",,"[0.6316155862632513, 0.03781829454783292]",,"[0.4188836394932878, 0.002083074337861035]","[-0.22480247429939482, -0.01445233690446912]","[0.4088638907241915, 0.06912900141939815]",,,"[-0.705161027954091, -0.058148454772890545]",
08 11 15 0 22 30.0000000,,"[0.17151452643929588, 0.006216926770321152]",,"[0.058689408003839816, 0.013838718631927094]",,,,"[0.0074603126585657265, 0.003988522253052906]","[-0.26677884447417455, 0.004085409123945283]",,"[0.6370654897859822, 0.010899807045461785]",,"[0.3678967621490301, -0.10197375468851533]","[-0.23004245592619554, -0.010479963253601454]","[0.39865844110752136, -0.020410899233340274]",,,"[-0.7217529579193069, -0.033183859930431936]",
