epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 21 30.0000000,"[0.13374342024326324, 0.21572545915842056]",,"[0.025938302278518677, 0.1206730306148529]",,,,"[0.37721730023622513, 0.2904668413102627]","[0.06932218372821808, -0.21266373619437218]",,"[0.09589169174432755, -0.19449281319975853]",,"[0.5196752399206161, 0.6360161863267422]",,"[0.17058024927973747, 0.8039034828543663]","[1.0623365975916386, -0.4698641039431095]",,,"[-0.31026189774274826, 0.618845634162426]",
08 11 15 0 22 0.0000000,"[0.021400973200798035, 0.14610201120376587]",,"[-0.0007186084985733032, 0.5036599487066269]",,,,"[-0.10753041133284569, 0.03881840035319328]","[-0.05818038061261177, 0.4678390808403492]",,"[0.16120188310742378, -0.5741883665323257]",,"[-0.7958404123783112, -0.1515260934829712]",,"[0.33889639005064964, 0.3899456150829792]","[0.4637020118534565, -0.1662142015993595]",,,"[-0.21802513301372528, 0.15224960818886757]",
08 11 15 0 22 30.0000000,"[-0.2637994810938835, 0.22234682738780975]",,"[0.05926211178302765, 0.3993564769625664]",,,,"[-0.18319662660360336, 0.08403705433011055]","[0.10855838656425476, 0.5210142619907856]",,"[-0.2961355671286583, 0.021272089332342148]",,"[0.21421140804886818, 0.3416687473654747]",,"[-0.22049744054675102, 0.15294571593403816]","[0.0058331117033958435, 0.5040672160685062]",,,"[0.12353711947798729, 0.20476464927196503]",
08 11 15 0 23 0.0000000,"[-0.18279985338449478, 0.11272608488798141]",,"[0.25195973366498947, 0.5407369434833527]",,,,"[-0.03890976309776306, 0.2829633206129074]","[-0.1334875226020813, 0.06849262118339539]",,"[-0.009012646973133087, 0.32158176973462105]",,"[-0.05143643170595169, 0.9614144749939442]",,"[0.1714707352221012, 0.11273186281323433]","[0.8792060725390911, 0.32928189262747765]",,,"[-0.0948706865310669, -0.25135859847068787]",
08 11 15 0 23 30.0000000,"[0.18433738499879837, 0.054891861975193024]",,"[-0.19123293459415436, 0.17821568995714188]",,,,"[0.0905986949801445, 0.2162763960659504]","[-0.03256380558013916, 0.4173126332461834]",,"[0.25208788737654686, 0.23295282945036888]",,"[0.22713448479771614, -0.4951687604188919]",,"[0.013099957257509232, -0.566342044621706]","[0.39446647092700005, 0.8152974247932434]",,,"[-0.3969084210693836, 0.2878682278096676]",
08 11 15 0 24 0.0000000,"[-0.18715426325798035, 0.21762222424149513]",,"[0.01875624805688858, 0.2317640334367752]",,,,"[-0.26662085205316544, 0.11456716805696487]","[-0.14266279339790344, -0.2334967851638794]",,"[-0.023332905024290085, 0.2965177409350872]",,"[0.4721571020781994, 0.5091700591146946]",,"[0.016709376126527786, 0.4826514981687069]","[0.10445088148117065, 0.2018447481095791]",,,"[-0.31035489961504936, -0.3362458273768425]",
08 11 15 0 24 30.0000000,"[0.17674846202135086, 0.13401146605610847]",,"[0.0003274492919445038, 0.29052139818668365]",,,,"[0.10964130610227585, 0.18556830286979675]","[-0.08520857989788055, 0.36572908610105515]",,"[-0.09591734781861305, -0.08944131061434746]",,"[-0.38635170087218285, -0.08029625564813614]",,"[-0.018683064728975296, 0.4672651030123234]","[0.34323863312602043, 0.4147501438856125]",,,"[0.218000840395689, -0.050198622047901154]",
08 11 15 0 25 0.0000000,"[0.0733649805188179, 0.08442594856023788]",,"[0.109608244150877, 0.009954415261745453]",,,,"[-0.10842627286911011, 0.30129995569586754]","[-0.14601390063762665, 0.21395105496048927]",,"[-0.15985414758324623, 0.036107733845710754]",,"[0.10475429520010948, 0.4365430250763893]",,"[-0.11370980739593506, 0.20313944295048714]","[0.11877891421318054, 0.5220360420644283]",,,"[-0.05698339268565178, 0.0021054595708847046]",
08 11 15 0 25 30.0000000,"[-0.13060609251260757, -0.1853865459561348]",,"[-0.03661254048347473, -0.002023112028837204]",,,,"[0.3014821410179138, 0.3979451321065426]","[0.05120391026139259, -0.10908044502139091]",,"[-0.15026312693953514, -0.1768493317067623]",,"[0.020765021443367004, -0.5143406242132187]",,"[0.04783635213971138, 0.185389693826437]","[-0.3615559823811054, 0.15207885578274727]",,,"[0.09327320754528046, 0.40963709726929665]",
08 11 15 0 26 0.0000000,"[-0.055809006094932556, -0.05723424628376961]",,"[0.07099254429340363, 0.07150585204362869]",,,,"[-0.02645232528448105, 0.14494406431913376]","[-0.21524609625339508, -0.240445114672184]",,"[0.20422935858368874, 0.5097049660980701]",,"[-1.5565782636404037, -1.3887102417647839]",,"[0.29038337245583534, 0.7818209864199162]","[-0.17458004131913185, -0.06465407460927963]",,,"[0.1562751680612564, 0.041486889123916626]",
