epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 12 0.0000000,,"[0.09402314946055412, -0.04886519908905029]",,"[0.19452890381217003, 0.05674954876303673]",,,,"[0.575221810489893, 0.07565763220191002]","[-0.1071581020951271, 0.5779552981257439]",,"[-0.47493231669068336, 0.545712549239397]",,"[0.23401115462183952, 0.6557925008237362]","[-0.24674198776483536, 0.3340535908937454]","[0.14307862147688866, 0.2761044539511204]",,,"[-0.10769148916006088, -0.12279201298952103]",
08 11 15 0 12 30.0000000,,"[0.15070661529898643, 0.05684172362089157]",,"[-0.05627983435988426, 0.3597346656024456]",,,,"[0.3580886572599411, 0.8548038750886917]","[0.10545752570033073, 0.4604989364743233]",,"[-0.6119281984865665, -0.11693201959133148]",,"[-0.4625972881913185, 0.1387171745300293]","[0.10079705715179443, 0.1797531321644783]","[0.46093517914414406, -0.23974595218896866]",,,"[-0.04318826645612717, 0.29193010553717613]",
08 11 15 0 13 0.0000000,,"[-0.3703104555606842, 0.5173533484339714]",,"[-0.11158042401075363, 0.3476465716958046]",,,,"[0.5352489873766899, -0.2018616572022438]","[-0.10925154760479927, 0.42707500606775284]",,"[-0.6284756548702717, -0.10430200025439262]",,"[-0.014737576246261597, 0.18157526478171349]","[0.07541124895215034, -0.4659634716808796]","[-0.46258682385087013, 0.08914877474308014]",,,"[-0.4378439635038376, 0.5407904908061028]",
08 11 15 0 13 30.0000000,,"[0.3362012356519699, 0.3253166563808918]",,"[0.08979562669992447, 0.6585839800536633]",,,,"[-0.06987540796399117, -0.4491750933229923]","[-0.12072528898715973, -0.2019404098391533]",,"[-0.07143423333764076, -0.2825149707496166]",,"[-0.30945993959903717, 0.35592201724648476]","[0.49511702358722687, -0.15691104158759117]","[-0.4440312124788761, 0.20781532675027847]",,,"[-0.1036924496293068, -0.3371829465031624]",
08 11 15 0 14 0.0000000,,"[0.2561684474349022, 0.17968318238854408]",,"[0.21250612661242485, 0.14523423090577126]",,,,"[-0.19681621342897415, -0.25053107365965843]","[0.1534559465944767, -0.27215149253606796]",,"[-1.3242131248116493, -0.7308029271662235]",,"[-0.23442227020859718, 0.2576780766248703]","[0.08406239748001099, 0.2596822902560234]","[-0.4808938652276993, 0.6570826359093189]",,,"[0.1481722667813301, -0.11257291212677956]",
08 11 15 0 14 30.0000000,,"[-0.043757546693086624, 0.05009211599826813]",,"[-0.1118801161646843, 0.286957073956728]",,,,"[-0.2707594782114029, 0.013857420533895493]","[-0.25903600826859474, -0.029033545404672623]",,"[-0.3921375758945942, -1.3765018992125988]",,"[0.19053468108177185, 0.5082496553659439]","[0.15009970217943192, 0.13888834044337273]","[-0.1077028214931488, -0.25770189985632896]",,,"[-0.0956253781914711, 0.40661461278796196]",
08 11 15 0 15 0.0000000,,"[0.037543848156929016, 0.08775220438838005]",,"[-0.28213195502758026, 0.1770721785724163]",,,,"[0.04339833930134773, -0.2329438328742981]","[0.09558753296732903, 0.34454625472426414]",,"[0.000819917768239975, -0.3197113163769245]",,"[-0.7536520659923553, 0.288908451795578]","[0.04908180981874466, 0.7341422438621521]","[0.2057454064488411, -0.040319912135601044]",,,"[0.03661758452653885, -0.3784141540527344]",
08 11 15 0 15 30.0000000,,"[0.13041271641850471, 0.40321097150444984]",,"[-0.26693837717175484, -0.12960517033934593]",,,,"[-0.17732391133904457, 0.2399497963488102]","[-0.024602480232715607, 0.12672797217965126]",,"[0.30942049622535706, -0.23392582312226295]",,"[-0.2690899185836315, 0.9260671511292458]","[0.2602401562035084, 0.5712600275874138]","[-0.3105926811695099, 0.06385542824864388]",,,"[-0.2439371570944786, 0.1009654626250267]",
08 11 15 0 16 0.0000000,,"[-0.13011492416262627, 0.35099001973867416]",,"[-0.3308659680187702, 0.15594075620174408]",,,,"[-0.4595227278769016, -0.061251528561115265]","[-0.24047968909144402, -0.3715799078345299]",,"[0.8100134246051311, -0.1866256408393383]",,"[-0.13305549696087837, -0.18094784393906593]","[0.34517158195376396, 0.519318014383316]","[0.2400454543530941, 0.6596844531595707]",,,"[0.06918854266405106, 0.4044274128973484]",
08 11 15 0 16 30.0000000,,"[-0.35264455154538155, -0.004992842674255371]",,"[-0.19633686542510986, 0.10032714158296585]",,,,"[0.25616706535220146, 0.30019596964120865]","[-0.07106221094727516, -0.3841436989605427]",,"[-0.08202273026108742, -0.4239113852381706]",,"[-0.48585736751556396, -0.06651826202869415]","[-0.12245861068367958, 0.09203005209565163]","[0.07967305555939674, 0.001960970461368561]",,,"[0.15219900384545326, 0.4847966283559799]",
08 11 15 0 17 0.0000000,,"[-0.05523579195141792, 0.08455546200275421]",,"[-0.27866099029779434, 0.11322694271802902]",,,,"[0.19316693395376205, 0.11064111068844795]","[-0.14542584866285324, -0.0983331985771656]",,"[-0.7812751159071922, -0.13372041285037994]",,"[-0.24557801336050034, -0.7233787551522255]","[-0.06619879975914955, -0.08245574310421944]","[0.31989240273833275, -0.032614126801490784]",,,"[0.21118846163153648, 0.13757623359560966]",
08 11 15 0 17 30.0000000,,"[-0.009768277406692505, 0.42131129279732704]",,"[-0.1475701667368412, 0.5163792818784714]",,,,"[-0.47909601405262947, 0.2948497645556927]","[0.26383619010448456, 0.24725426360964775]",,"[-0.5784091465175152, 0.12221090123057365]",,"[-0.1512865237891674, -0.25662200152873993]","[0.10253625363111496, -0.4225785695016384]","[0.22432242333889008, 0.4080800227820873]",,,"[-0.46979059651494026, -0.24214939400553703]",
08 11 15 0 18 0.0000000,,"[-0.10796891897916794, 0.48582521453499794]",,"[-0.02548399567604065, 0.21109216660261154]",,,,"[0.3722187243402004, -0.14446885138750076]","[-0.03126678243279457, -0.09041767567396164]",,"[-0.02538939192891121, 1.0368109829723835]",,"[0.38894184306263924, -0.47102609276771545]","[-0.1621864251792431, -0.19118957966566086]","[0.14674265682697296, 0.20853544399142265]",,,"[-0.32190923765301704, 0.1767386719584465]",
08 11 15 0 18 30.0000000,,"[-0.22036564350128174, 0.5106339789927006]",,"[0.020579837262630463, 0.20192130282521248]",,,,"[0.3739554323256016, -1.031970303505659]","[0.08144927397370338, -0.42682117968797684]",,"[-0.6933402977883816, 0.7448971755802631]",,"[0.48587800934910774, 0.4947759062051773]","[0.025651540607213974, 0.31492939963936806]","[0.3189254328608513, 0.2719925194978714]",,,"[0.31107014417648315, 0.4448123089969158]",
08 11 15 0 19 0.0000000,,"[0.38600388541817665, 0.5041906274855137]",,"[-0.11970189213752747, 0.1901511512696743]",,,,"[-0.023522768169641495, 0.5868353173136711]","[-0.38990046828985214, -0.09726002439856529]",,"[-0.1606042943894863, 0.315647479146719]",,"[0.41178565472364426, 0.3809343986213207]","[0.32192883640527725, 0.3529726602137089]","[0.5796246230602264, -0.19783225655555725]",,,"[-0.35953257232904434, -0.210677120834589]",
08 11 15 0 19 30.0000000,,"[0.36844802647829056, 0.3784562088549137]",,"[0.1327424794435501, 0.34558917954564095]",,,,"[-0.289373517036438, 0.8524549156427383]","[-0.11431081593036652, 0.2773134708404541]",,"[-0.3577102795243263, -0.20374202355742455]",,"[0.3076793998479843, 0.2596787139773369]","[-0.1947517730295658, 0.15266695991158485]","[0.8701332695782185, 0.08517999947071075]",,,"[-0.3036656156182289, 0.5072263404726982]",
08 11 15 0 20 0.0000000,,"[-0.07258511334657669, 0.2861769385635853]",,"[0.3543509617447853, 0.3809744007885456]",,,,"[-0.07217869162559509, 0.3805675804615021]","[0.025181513279676437, 0.0004112720489501953]",,"[0.3991329036653042, 0.4065953306853771]",,"[0.0805678442120552, 0.6292820200324059]","[-0.2760354056954384, -0.0475592240691185]","[0.22881581634283066, 0.1026446782052517]",,,"[0.17440400272607803, 0.6756924726068974]",
08 11 15 0 20 30.0000000,,"[-0.1204998642206192, 0.2507157176733017]",,"[-0.042440786957740784, 0.14544080197811127]",,,,"[0.03622221574187279, 0.34056318551301956]","[0.5045985504984856, 0.07370749488472939]",,"[0.4414907805621624, 0.2928796000778675]",,"[0.019069112837314606, 0.6671651266515255]","[0.04908805713057518, -0.2711198627948761]","[0.5413887836039066, -0.06143636256456375]",,,"[-0.4200022518634796, 0.8220626525580883]",
08 11 15 0 21 0.0000000,,"[-0.07823001220822334, 0.2513359934091568]",,"[-0.06515952572226524, 0.2834397926926613]",,,,"[0.038457807153463364, 0.5402694270014763]","[0.10835298895835876, 0.13241339847445488]",,"[0.5751703195273876, 0.9869317598640919]",,"[0.19468732178211212, 0.2869773916900158]","[0.06117381155490875, -0.045740701258182526]","[-0.5965381562709808, -0.4175608977675438]",,,"[-0.3560112752020359, -0.23708997666835785]",
08 11 15 0 21 30.0000000,,"[-0.09580715745687485, -0.1357758864760399]",,"[-0.3228708244860172, -0.07332128658890724]",,,,"[-0.3266341909766197, -0.04639787971973419]","[0.19982990622520447, 0.1704031564295292]",,"[0.5835158564150333, 0.4837231673300266]",,"[0.46100591123104095, 0.05438700318336487]","[0.18985525146126747, -0.09887560829520226]","[0.25200726091861725, -0.3376203551888466]",,,"[0.4549812786281109, 0.4312540255486965]",
08 11 15 0 22 0.0000000,,"[0.12040353566408157, -0.16671013459563255]",,"[0.12456148490309715, -0.04621756821870804]",,,,"[-0.06540442630648613, -0.06293880194425583]","[-0.06161951646208763, 0.20186493173241615]",,"[0.7532170750200748, -0.12152457609772682]",,"[0.01591626927256584, 0.19545689970254898]","[0.3626488409936428, 0.11645146459341049]","[0.2839644066989422, -1.2597408778965473]",,,"[0.21046361327171326, 0.5256507992744446]",
08 11 15 0 22 30.0000000,,"[0.24179532006382942, 0.33388714492321014]",,"[-0.0679926723241806, 0.39771130681037903]",,,,"[-0.12479693070054054, 0.4539363533258438]","[-0.13014791905879974, 0.16320428252220154]",,"[0.7217541672289371, -0.2723192423582077]",,"[-0.006968628615140915, -0.36673593893647194]","[-0.150188896805048, 0.035593438893556595]","[-0.0075550563633441925, -0.4112505353987217]",,,"[-0.09343255683779716, -0.7180144377052784]",
08 11 15 0 23 0.0000000,,"[0.08721685037016869, 0.32178566604852676]",,"[-0.11978550255298615, 0.08347446843981743]",,,,"[-0.09202981367707253, 0.6380041763186455]","[0.11441994830965996, 0.1091492623090744]",,"[-0.041357457637786865, -0.10337856784462929]",,"[-0.23547085002064705, -1.1181842423975468]","[-0.1206137165427208, 0.3799196928739548]","[0.3401143178343773, -0.015279266983270645]",,,"[0.08491481095552444, -0.4232563264667988]",
08 11 15 0 23 30.0000000,,"[0.18602273985743523, 4.258006811141968e-05]",,"[0.08116365969181061, 0.49881498515605927]",,,,"[0.6014988161623478, 0.791094470769167]","[0.04366658255457878, 0.3538377061486244]",,"[0.5803094729781151, -0.4882103018462658]",,"[0.05314827337861061, -1.352715142071247]","[-0.29803262650966644, -0.20283253118395805]","[0.3513910844922066, -0.5784249790012836]",,,"[-0.7117899246513844, 0.05494769290089607]",
08 11 15 0 24 0.0000000,,"[0.22231809794902802, 0.5118653737008572]",,"[-0.2741457000374794, 0.4639930799603462]",,,,"[-0.14587680250406265, 0.22366876900196075]","[0.024368446320295334, 0.34741875156760216]",,"[0.3419109098613262, -0.2900170423090458]",,"[-0.3142947107553482, -1.0843207724392414]","[-0.047405507415533066, 0.3079928457736969]","[0.8050941489636898, -0.6412731036543846]",,,"[-0.24625128507614136, -0.1814977452158928]",
