epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 10 30.0000000,,"[-1.082100593470142, -0.04582763121920408]","[-0.1493757993395537, -0.013354258204719471]",,,,"[0.36139723110245026, 0.005344942871108316]","[0.8496117291051508, 0.042614197698386036]"
08 11 15 5 11 0.0000000,,"[-1.0859034216937555, -0.007605656447227105]","[-0.15260538338859853, -0.006459168098089663]",,,,"[0.3749130040730284, 0.02703154594115631]","[0.8757228277073414, 0.05222219720438126]"
08 11 15 5 11 30.0000000,,"[-1.1032381544490262, -0.034669465510541286]","[-0.15359039490617832, -0.001970023035159585]",,,,"[0.3736615420321945, -0.0025029240816678566]","[0.8864934566071252, 0.021541257799567504]"
08 11 15 5 12 0.0000000,,"[-1.138036795734668, -0.06959728257128361]","[-0.15748202732611016, -0.007783264839863691]",,,,"[0.37274110417680273, -0.001840875710783507]","[0.9055317808414483, 0.03807664846864611]"
08 11 15 5 12 30.0000000,,"[-1.171672788659369, -0.06727198584940197]","[-0.1605178240035645, -0.0060715933549087]",,,,"[0.37618867768084296, 0.006895147008080471]","[0.9204039610938333, 0.029744360504770025]"
08 11 15 5 13 0.0000000,,"[-1.2074241688568579, -0.07150276039497783]","[-0.16297230598412327, -0.004908963961117507]",,,,"[0.37983809959522485, 0.007298843828763779]","[0.9394988169187428, 0.0381897116498191]"
08 11 15 5 13 30.0000000,,"[-1.2065198910132704, 0.001808555687174973]","[-0.16775207520298974, -0.00955953843773294]",,,,"[0.37578498086015966, -0.008106237470130395]","[0.952465557281732, 0.025933480725978342]"
08 11 15 5 14 0.0000000,,"[-1.2193170650552245, -0.025594348083908258]","[-0.16816384254599992, -0.0008235346860203663]",,,,"[0.3924172936657584, 0.033264625611197474]","[0.9598693463514678, 0.014807578139471643]"
08 11 15 5 14 30.0000000,,"[-1.2132616127449687, 0.012110904620511675]","[-0.17861958830499347, -0.020911491517987102]",,,,"[0.39427428197046854, 0.0037139766094202997]","[0.9683550406245773, 0.016971388546219046]"
08 11 15 5 15 0.0000000,,"[-1.2687698876546802, -0.1110165498194231]","[-0.17319390227631892, 0.010851372057349096]",,,,"[0.4040114572515634, 0.019474350562189713]","[1.0069322890832781, 0.07715449691740162]"
08 11 15 5 15 30.0000000,,,"[-0.17421928537268094, -0.0020507661927240406]",,,,"[0.40475425826359235, 0.001485602024057897]","[1.0234999997759644, 0.03313542138537251]"
08 11 15 5 16 0.0000000,,,"[-0.1714014876337968, 0.005635595477768263]",,,,"[0.42008664796009754, 0.030664779393010377]","[1.0275127469322465, 0.008025494312564163]"
08 11 15 5 16 30.0000000,,,"[-0.17286286860730016, -0.0029227619470066912]",,,,"[0.4349830587466119, 0.02979282157302876]","[1.040463336767007, 0.025901179669521213]"
08 11 15 5 17 0.0000000,,,"[-0.16585470583592166, 0.014016325542757002]",,,,"[0.4317938462763502, -0.0063784249405234306]","[1.0684879362973438, 0.056049199060673516]"
08 11 15 5 17 30.0000000,,,"[-0.16592735950401138, -0.00014530733617945657]",,,,"[0.43308567989596813, 0.002583667239235865]","[1.081777639807025, 0.026579407019362122]"
08 11 15 5 18 0.0000000,,,"[-0.16543485848700978, 0.0009850020340032017]",,,,"[0.42965425692015646, -0.006862845951623342]","[1.0806553535412924, -0.002244572531465039]"
08 11 15 5 18 30.0000000,,,"[-0.1608407871502564, 0.00918814267350676]",,,,"[0.4282978401547748, -0.0027128335307633478]","[1.1071216973794815, 0.052932687676378265]"
08 11 15 5 19 0.0000000,,,"[-0.15407484436800356, 0.013531885564505686]",,,,"[0.4364444397201144, 0.01629319913067917]","[1.1475882446829235, 0.08093309460688403]"
08 11 15 5 19 30.0000000,,,"[-0.15471267168833602, -0.001275654640664925]",,,,"[0.44539034343734496, 0.01789180743446117]","[1.1515525497380956, 0.00792861011034418]"
08 11 15 5 20 0.0000000,,,"[-0.1352141285263171, 0.038997086324037866]",,,,"[0.4543201155934966, 0.0178595443123033]","[1.1743291190502694, 0.04555313862434751]"
08 11 15 5 20 30.0000000,,,"[-0.13076539297646939, 0.008897471099695409]",,,,"[0.4611910320674468, 0.013741832947900434]","[1.1967019725746093, 0.04474570704867986]"
08 11 15 5 21 0.0000000,,,"[-0.12466149856510356, 0.012207788822731658]",,,,"[0.4644448371670462, 0.006507610199198766]","[1.2200275650107972, 0.04665118487237585]"
08 11 15 5 21 30.0000000,,,"[-0.12071335352173485, 0.007896290086737423]",,,,"[0.46707692754024244, 0.005264180746392455]","[1.2401074418368614, 0.040159753652128316]"
08 11 15 5 22 0.0000000,,,"[-0.10986198146438397, 0.021702744114701744]",,,,"[0.47516700499857034, 0.01618015491665581]","[1.2450648289319393, 0.00991477419015574]"
08 11 15 5 22 30.0000000,,,"[-0.10498532804329752, 0.009753306842172904]",,,,"[0.4861071907358143, 0.02188037147448796]","[1.2519115148717592, 0.013693371879639926]"
08 11 15 5 23 0.0000000,,,"[-0.10995079514427708, -0.009930934201959118]",,,,"[0.4891752789861501, 0.006136176500671553]","[1.240276979707171, -0.023269070329176245]"
