epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 25 30.0010000,,"[0.17989623546600342, 0.28443657606840134]",,"[-0.03709890693426132, 0.4857638403773308]",,,,"[-0.5425000041723251, -0.5585935153067112]","[-0.32834726199507713, 0.17052995041012764]",,"[-0.46162499114871025, -0.3875889778137207]",,"[-0.1149325929582119, -0.7450487650930882]","[0.15947939455509186, -0.35560232028365135]","[-0.6499073095619678, 0.4371710903942585]",,,"[0.2625761441886425, -0.178091611713171]",
08 11 15 0 26 0.0010000,,"[0.16586866602301598, 0.21280765905976295]",,"[-0.13109459728002548, -0.04455948621034622]",,,,"[0.09167926758527756, -0.05272151902318001]","[-0.2608421593904495, 0.040385838598012924]",,"[-0.04925421252846718, -0.3571063056588173]",,"[0.37259354069828987, -0.1696084924042225]","[-0.1787601187825203, -0.19499244913458824]","[0.2286793477833271, 0.4413229487836361]",,,"[-0.091212198138237, -0.7870996780693531]",
08 11 15 0 26 30.0010000,,"[0.11445476487278938, 0.23839154466986656]",,"[0.027492761611938477, -0.46962450444698334]",,,,"[0.5507682263851166, -0.5285434611141682]","[-0.1013123132288456, -0.41043252125382423]",,"[0.8414815366268158, -1.3663854524493217]",,"[-0.6651640981435776, -0.3660474233329296]","[0.3153081610798836, 0.15577010810375214]","[0.08939583599567413, -0.2543732300400734]",,,"[-0.516791857779026, 0.08794206008315086]",
08 11 15 0 27 0.0010000,,"[0.10674099624156952, 0.1550564467906952]",,"[0.016507018357515335, -0.22729943320155144]",,,,"[0.23347637802362442, 0.3493933416903019]","[0.018455035984516144, -0.27772005274891853]",,"[0.530928298830986, -1.001037672162056]",,"[0.7361425012350082, 0.06194016709923744]","[-0.21586495637893677, -0.34296563267707825]","[-0.10345941409468651, -0.7275126650929451]",,,"[0.048873573541641235, -0.09067566692829132]",
08 11 15 0 27 30.0010000,,"[-0.09360535070300102, -0.008525550365447998]",,"[0.13803063705563545, -0.04008633270859718]",,,,"[-0.5453925020992756, 0.14053146913647652]","[0.1422303020954132, -0.015273664146661758]",,"[-0.1921463906764984, -0.09535855427384377]",,"[0.5326395891606808, 0.2315603531897068]","[-0.09034807607531548, -0.21477919071912766]","[0.096703190356493, 0.03354432433843613]",,,"[0.0677865669131279, -0.0851067528128624]",
08 11 15 0 28 0.0010000,,"[0.2128652259707451, -0.1843179166316986]",,"[0.02529580518603325, 0.07100661471486092]",,,,"[-0.5532642155885696, -0.6989837102591991]","[-0.1069367416203022, -0.33688000217080116]",,"[0.24768133461475372, 0.3303901106119156]",,"[0.45762456208467484, 0.5182868763804436]","[-0.04585592448711395, -0.18521253392100334]","[0.07453319430351257, 0.2839435152709484]",,,"[-0.021512102335691452, 0.4001210555434227]",
08 11 15 0 28 30.0010000,,"[0.119890958070755, 0.22161362320184708]",,"[0.09263143688440323, -0.05024448782205582]",,,,"[-0.8705988079309464, -0.720857173204422]","[-0.09384199231863022, 0.0031085386872291565]",,"[0.2922840751707554, 0.320012841373682]",,"[-0.2574649564921856, 0.7681314162909985]","[-0.4823373481631279, 0.08413639292120934]","[0.6304693780839443, 0.35222791135311127]",,,"[0.07143750786781311, 1.262619774788618]",
08 11 15 0 29 0.0010000,,"[-0.09035524725914001, 0.17404133826494217]",,"[-0.05888836458325386, -0.08402502164244652]",,,,"[-0.3823006898164749, -0.7789288684725761]","[-0.11103631556034088, -0.1989699974656105]",,"[-0.04189172014594078, 0.04114151746034622]",,"[-0.5501597225666046, 0.752867616713047]","[0.08774156868457794, -0.20728417485952377]","[0.1942507065832615, -0.03124508261680603]",,,"[0.040320657193660736, 0.8780104406177998]",
08 11 15 0 29 30.0010000,,"[-0.07058212161064148, 0.31218141317367554]",,"[0.17448964342474937, 0.14740785956382751]",,,,"[0.033039260655641556, -0.5049266517162323]","[-0.3794697932898998, -0.20884240791201591]",,"[-0.3579605706036091, -0.5728502608835697]",,"[-0.938651230186224, 0.8934786953032017]","[-0.3289715349674225, -0.3163010887801647]","[0.036452386528253555, 0.5920057259500027]",,,"[0.09440252184867859, 0.6817063987255096]",
08 11 15 0 30 0.0010000,,"[-0.09429670870304108, -0.11983100324869156]",,"[0.38123973086476326, 0.31782839819788933]",,,,"[-0.18418145552277565, -0.6295682340860367]","[-0.34056389331817627, -0.4108733721077442]",,"[-0.20613610371947289, 0.07988378405570984]",,"[-2.716155007481575, 0.8331996649503708]","[-0.24758821353316307, -0.5258743278682232]","[0.028304453939199448, 0.6682716496288776]",,,"[0.4993853159248829, -0.19858259707689285]",
