epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 2 30.0000000,,"[2.7902449501678346, 6.669584010293086]","[-0.36510781673714554, -0.27009014089902195]",,"[-2.408389200953146, -2.085817391052842]",,"[0.27921295796210543, 0.4528491302082944]","[-6.401898849805196, -9.020049947434002]"
08 11 15 5 3 0.0000000,,"[3.1402944011613725, 6.934631635000308]","[0.3625502687878903, 0.4521568934122726]",,"[-3.7833159766470392, -2.2577938828617334]",,"[0.770902923091004, -0.09745716017981287]","[-7.102175880273183, -7.796455162697368]"
08 11 15 5 3 30.0000000,,"[3.3858354372903703, 6.564260278393824]","[-0.38699788330122864, 0.07467091778914181]",,"[-3.3614188633238276, -2.413658866658807]",,"[-0.09905641640846952, 0.7018965436766553]","[-6.963053781588872, -8.122544664078289]"
08 11 15 5 4 0.0000000,,"[2.616318373195827, 7.036265273143847]","[-0.12798089263960755, 0.040981895724932826]",,"[-3.2170983008419474, -0.3870080802589655]",,"[0.8485929730969168, 0.06504292326668981]","[-6.415964607199033, -8.410858693652683]"
08 11 15 5 4 30.0000000,,"[2.0937829149886964, 8.042149100949366]","[-0.8655539947561923, -0.21868567963441166]",,"[-2.280953427342077, -1.1787239704281092]",,"[0.34810926650340335, 1.4542972250531125]","[-5.658093053897222, -8.596447113090091]"
08 11 15 5 5 0.0000000,,"[2.308935491554439, 7.642272923638423]","[0.5353444841690358, -0.05864005585511478]",,"[-0.21806319573273258, -1.2721744123846292]",,"[0.5908379617768027, 1.163276488954823]","[-7.669561762412389, -9.106446790628963]"
08 11 15 5 5 30.0000000,,"[3.292413873784244, 8.15094961648186]","[0.08297397466376388, 0.014725885788600124]",,"[-2.6523769251381357, 0.9499002005904913]",,"[-0.17870085801308377, 1.730941574151318]","[-7.881906289656957, -8.015751096540027]"
08 11 15 5 6 0.0000000,,"[2.906272648088634, 8.027148787428935]","[-0.1589413034729663, 0.21845758656660763]",,"[-2.667973031786581, -0.22152597643435]",,"[0.2331351253824927, 0.5119386418412137]","[-8.585175950129827, -8.641052845054203]"
08 11 15 5 6 30.0000000,,"[2.1818776411935685, 7.687129695465167]","[0.5685846311040219, 0.3752734134594604]",,"[-1.9123662165676554, 0.06676309369504452]",,"[0.7083976629811026, 1.5144837452719617]","[-7.780759189327558, -8.114558103614383]"
08 11 15 5 7 0.0000000,,"[2.004643721692264, 7.762161303808291]","[-0.40243033049628174, 0.08687151173750607]",,"[-2.413188641456266, 0.46788651309907436]",,"[0.8976550463276602, 0.38794663089017156]","[-6.952898267706235, -7.388404163651996]"
08 11 15 5 7 30.0000000,,"[3.11400344800204, 7.526094187547763]","[-0.02931479094550049, 0.13416149417559353]",,"[-3.608972643998762, 1.007046377286315]",,"[0.1367054197626807, -0.07877941889067408]","[-7.481703434189161, -7.787735867434078]"
08 11 15 5 8 0.0000000,,"[2.899223638884723, 7.640912924458583]","[-0.29739973424002564, 0.22114507059256283]",,,,"[-0.1575261738461755, 0.9879204435894895]","[-6.736052487095197, -7.923770058088833]"
08 11 15 5 8 30.0000000,,"[2.8449062241241334, 7.53393461232384]","[-0.6962327930144969, 0.2354998062054321]",,,,"[-0.47205158437912687, -0.7172703937937808]","[-6.431964550216993, -8.34326727979713]"
08 11 15 5 9 0.0000000,,"[2.782409412972629, 7.703505728890498]","[-0.19159385291859543, 0.12927798132101742]",,,,"[0.08805138502890841, 0.7102480484793592]","[-6.792354185183843, -8.498580220275455]"
08 11 15 5 9 30.0000000,,"[3.580369068495929, 7.245215196659167]","[-0.28510062871500885, -0.09606800278027805]",,,,"[-0.23669914271061643, -0.8897717641045642]","[-6.218138832648595, -8.73365162604385]"
