epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 13 0.0000000,"[-0.044309728138689275, -0.007072755400716613]","[-0.07664582640502049, 0.002632109340345856]","[0.19603505473425598, 0.017262041152880325]",,,"[-0.26805451822964166, -0.026627811186171968]","[-0.3145200052199033, -0.02699922591754933]","[0.16926997828350498, -0.008542197412971575]",,"[-0.38729034973321985, -0.04392217236265861]","[0.020903402028510154, 0.00032295366311707596]",
08 11 15 1 13 30.0000000,"[-0.04981615732493139, -0.011012858372484224]","[-0.0795201462509163, -0.005748639691791624]","[0.22522232159268407, 0.05837453371685619]",,,"[-0.28169946697532167, -0.027289897491360016]","[-0.3283022002630116, -0.027564390086216584]","[0.1716598581511506, 0.004779759735291211]",,"[-0.4095259569601315, -0.04447121445382329]","[0.02548941232651103, 0.009172020596001751]",
08 11 15 1 14 0.0000000,"[-0.05509650756670137, -0.010560700483539964]","[-0.08190195559623525, -0.004763618690637905]","[0.25255258117925217, 0.05466051917313619]",,,"[-0.3045002573380504, -0.0456015807254575]","[-0.3382008428920895, -0.019797285258155828]","[0.17615702631853325, 0.008994336334765318]",,"[-0.42925864010537396, -0.039465366290484916]","[0.023446688205387645, -0.00408544824224677]",
08 11 15 1 14 30.0000000,"[-0.05058317938751533, 0.009026656358372076]","[-0.07449007703702337, 0.014823757118423764]","[0.2691606539671465, 0.03321614557578867]",,,"[-0.30896513393255143, -0.008929753189002021]","[-0.3391374217921337, -0.001873157800088343]","[0.18723446783678055, 0.0221548830364946]",,"[-0.44461526981958377, -0.030713259428419626]","[0.02753210799690997, 0.008170839583044653]",
08 11 15 1 15 0.0000000,"[-0.05325565082306971, -0.00534494287110876]","[-0.07613717485978988, -0.0032941956455330157]","[0.27874442293900903, 0.019167537943725055]",,,"[-0.30668828879535415, 0.004553690274394562]","[-0.35767516500355323, -0.03707548642283909]","[0.187573581511701, 0.0006782273498409097]",,"[-0.4555070039721425, -0.02178346830511746]","[0.029825103662335373, 0.004585991330850803]",
08 11 15 1 15 30.0000000,"[-0.0545716960096676, -0.0026320903731957834]","[-0.07333551816555905, 0.00560331338846165]","[0.2762253483291115, -0.005038149219795063]",,,"[-0.31172641904799914, -0.01007626050528998]","[-0.36632234559179666, -0.01729436117648686]","[0.18958398560921785, 0.004020808195033698]",,"[-0.4714772304725545, -0.03194045300082404]","[0.02514221864568933, -0.009365770033292087]",
08 11 15 1 16 0.0000000,"[-0.05643677380385426, -0.0037301555883733073]","[-0.06834583001402406, 0.009979376303069998]","[0.27234985695383274, -0.007750982750557522]",,,"[-0.32288458475666326, -0.02231633141732825]","[-0.383326054161623, -0.03400741713965272]","[0.19640645998205786, 0.013644948745680008]",,"[-0.491379479938832, -0.039804498932555]","[0.02076614624750661, -0.008752144796365435]",
08 11 15 1 16 30.0000000,"[-0.0593191736556522, -0.005764799703595891]","[-0.07293989186720173, -0.009188123706355356]","[0.2726808906228515, 0.0006620673380375308]",,,"[-0.3373530776719389, -0.028936985830551265]","[-0.40234822786771807, -0.038044347412190094]","[0.1914732749703847, -0.009866370023346338]",,"[-0.5171191638096455, -0.05147936774162698]","[0.015913723360550414, -0.009704845773912396]",
08 11 15 1 17 0.0000000,"[-0.06329154923315095, -0.007944751154997487]","[-0.07456275915583843, -0.003245734577273396]","[0.28650346672831817, 0.027645152210933333]",,,"[-0.3589750691454978, -0.04324398294711784]","[-0.4274177928453172, -0.050139129955198314]","[0.19416998642364391, 0.0053934229065184525]",,"[-0.5341390134241251, -0.03403969922895911]","[0.013176649812082886, -0.005474147096935056]",
08 11 15 1 17 30.0000000,"[-0.0586328852670599, 0.009317327932182096]","[-0.07252004451828986, 0.004085429275097141]","[0.31573916620428144, 0.058471398951926545]",,,"[-0.3685265275773286, -0.019102916863661612]","[-0.4323509494062653, -0.00986631312189612]","[0.20070178922267368, 0.013063605598059524]",,"[-0.5304330788863063, 0.007411869075637512]","[0.018408567436317913, 0.010463835248470055]",
08 11 15 1 18 0.0000000,"[-0.05993278940900448, -0.002599808283889171]","[-0.07646012852290696, -0.00788016800923419]","[0.32956981283207476, 0.02766129325558664]",,,"[-0.3747595977637963, -0.012466140372935364]","[-0.44773987069335686, -0.030777842574183145]","[0.2071205572912549, 0.01283753613716243]",,"[-0.5254110991618899, 0.010043959448832851]","[0.02341438714893096, 0.010011639425226093]",
08 11 15 1 18 30.0000000,"[-0.04921868261623241, 0.021428213585544142]","[-0.07384417919436448, 0.005231898657084955]","[0.3394280743987943, 0.01971652313343908]",,,"[-0.3754701072029438, -0.001421018878295044]","[-0.45305253147515867, -0.010625321563603629]","[0.22255792067945634, 0.03087472677640291]",,"[-0.5358910564878636, -0.020959914651947464]","[0.02914689527964498, 0.01146501626142804]",
08 11 15 1 19 0.0000000,"[-0.051124131989202626, -0.0038108987459404275]","[-0.07541858541474067, -0.00314881244075238]","[0.3377890660655043, -0.003278016666580008]",,,"[-0.3932408283517792, -0.035541442297670756]","[-0.45906760272305613, -0.012030142495794927]","[0.21819798932592716, -0.008719862707058379]",,"[-0.560605366745889, -0.04942862051605079]","[0.03251371614254284, 0.006733641725795714]",
