epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 14 59.9970000,,"[0.11698319198330864, 0.004618285282049328]",,"[0.04946090379235102, 0.01716517591557931]",,,,"[-0.07440127876907354, -0.040418101649265736]","[-0.19979750841594068, -0.010754476890724618]",,"[0.5079794736229815, 0.04264650645200163]",,"[0.11963951683719642, 0.0046182890655472875]","[-0.09574067985886359, -0.04156459947989788]","[0.3004875081069258, 0.012433854726623395]",,,,"[-0.44462333337742166, -0.06173327990836697]",
08 11 15 0 15 29.9970000,,"[0.11264749118709005, -0.008671401592437178]",,"[0.04844358885020483, -0.0020346298842923716]",,,,"[-0.06460759975379915, 0.019587358030548785]","[-0.1902541213967197, 0.019086774038441945]",,"[0.5111040848423727, 0.0062492224387824535]",,"[0.13657055114163086, 0.03386206860886887]","[-0.09512706114037428, 0.001227237436978612]","[0.3321453935450336, 0.06331577087621554]",,,,"[-0.45054959894696367, -0.011852531139084022]",
08 11 15 0 15 59.9970000,,"[0.11589321270002984, 0.006491443025879562]",,"[0.047474717190198135, -0.0019377433200133964]",,,,"[-0.05113220784551231, 0.026950783816573676]","[-0.1888492574908014, 0.0028097278118366376]",,"[0.509432781371288, -0.0033426069421693683]",,"[0.16231831858749501, 0.05149553489172831]","[-0.1045008957698883, -0.018747669259028044]","[0.3292387782739752, -0.0058132305421167985]",,,,"[-0.4599476552189117, -0.018796112543896015]",
08 11 15 0 16 29.9970000,,"[0.13704691355815157, 0.042307401716243476]",,"[0.051075691073492635, 0.007201947766589001]",,,,"[-0.06881411827998818, -0.035363820868951734]","[-0.1964629748290463, -0.015227434676489791]",,"[0.5159080739249475, 0.012950585107319057]",,"[0.1730889432656113, 0.021541249356232584]","[-0.11710430259336135, -0.025206813646946102]","[0.33165288363761647, 0.004828210727282567]",,,,"[-0.46453364832768784, -0.00917198621755233]",
08 11 15 0 16 59.9970000,,"[0.12989340905915014, -0.014307008998002857]",,"[0.04838707266753772, -0.005377236811909825]",,,,"[-0.06861226986802649, 0.0004036968239233829]","[-0.20367299549434392, -0.014420041330595268]",,"[0.536318973172456, 0.04082179849501699]",,"[0.1585397185990587, -0.029098449333105236]","[-0.13657862470427062, -0.03894864422181854]","[0.3511837240030218, 0.03906168073081062]",,,,"[-0.49601390729549166, -0.06296051793560764]",
08 11 15 0 17 29.9970000,,"[0.11951033238437958, -0.020766153349541128]",,"[0.0459245237216237, -0.004925097891828045]",,,,"[-0.05932724892045371, 0.01857004189514555]","[-0.20839624542168167, -0.009446499854675494]",,"[0.5408000047318637, 0.008962063118815422]",,"[0.18489303102251142, 0.05270662484690547]","[-0.14529847140875063, -0.01743969340896001]","[0.3508849884274241, -0.0005974711511953501]",,,,"[-0.5141964011218079, -0.03636498765263241]",
08 11 15 0 17 59.9970000,,"[0.11983329078066163, 0.0006459167925640941]",,"[0.049630455891019665, 0.007411864338791929]",,,,"[-0.037212750503385905, 0.044228996834135614]","[-0.21345052664764808, -0.010108562451932812]",,"[0.5674762749113142, 0.053352540358901024]",,"[0.20707212082925253, 0.04435817961348221]","[-0.14532269364281092, -4.8444468120578676e-05]","[0.35577779089453543, 0.009785604934222647]",,,,"[-0.534970626782524, -0.04154845132143237]",
08 11 15 0 18 29.9970000,,"[0.12013202576781623, 0.000597469974309206]",,"[0.043445825431263074, -0.01236926091951318]",,,,"[-0.0523432983100065, -0.030261095613241196]","[-0.21828681160150154, -0.00967256990770693]",,"[0.5836806547595188, 0.032408759696409106]",,"[0.20762922210269608, 0.0011142025468870997]","[-0.1552374814673385, -0.019829575649055187]","[0.36787254054161167, 0.024189499294152483]",,,,"[-0.5824937872562259, -0.09504632094740373]",
08 11 15 0 18 59.9970000,,"[0.13743446103762835, 0.034604870539624244]",,"[0.03514582311618142, -0.016600004630163312]",,,,"[-0.053223356288071955, -0.0017601159561309032]","[-0.22710354473019834, -0.017633466257393593]",,"[0.5922309484449215, 0.017100587370805442]",,"[0.19044789581676014, -0.03436265257187188]","[-0.15107940622692695, 0.008316150480823126]","[0.36840541995388776, 0.0010657588245521765]",,,,"[-0.6217411679444922, -0.07849476137653255]",
08 11 15 0 19 29.9970000,,"[0.1532593671581708, 0.031649812241084874]",,"[0.03932812118000584, 0.008364596127648838]",,,,"[-0.05541946597077185, -0.0043922193653997965]","[-0.24241979278849612, -0.030632496116595572]",,"[0.6156695715035312, 0.04687724611721933]",,"[0.18553894563228823, -0.00981790036894381]","[-0.16824458451810642, -0.034330356582358945]","[0.37440435074950074, 0.011997861591225956]",,,,"[-0.6204735613027879, 0.002535213283408666]",
08 11 15 0 19 59.9970000,,"[0.15409905710839666, 0.0016793799004517496]",,"[0.050639697939914186, 0.022623153519816697]",,,,"[-0.08479242834073375, -0.05874592473992379]","[-0.24454323680220114, -0.004246888027410023]",,"[0.6236223937594332, 0.015905644511803985]",,"[0.2148230950406287, 0.05856829881668091]","[-0.16996433185704518, -0.0034394946778775193]","[0.3875810070812804, 0.026353312663559336]",,,,"[-0.6047293944834564, 0.03148833363866288]",
08 11 15 0 20 29.9970000,,"[0.1491497369715944, -0.009898640273604542]",,"[0.04655428881960688, -0.008170818240614608]",,,,"[-0.0579062365613936, 0.0537723835586803]","[-0.2510831212384801, -0.013079768872557906]",,"[0.6188426269218326, -0.009559533675201237]",,"[0.22846803936408833, 0.02728988864691928]","[-0.19554254719696473, -0.051156430679839104]","[0.38618421725550434, -0.002793579651552136]",,,,"[-0.6005148021768036, 0.008429184613305551]",
08 11 15 0 20 59.9970000,,"[0.16256861033616588, 0.026837746729142964]",,"[0.054095341969514266, 0.015082106299814768]",,,,"[-0.04605370483113802, 0.023705063460511155]","[-0.27039596533177246, -0.03862568818658474]",,"[0.6106233648024499, -0.01643852423876524]",,"[0.21183574048336595, -0.03326459776144475]","[-0.20701560375164263, -0.022946113109355792]","[0.39029384802142886, 0.008219261531849043]",,,,"[-0.5945239451630187, 0.011981714027569978]",
