epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 15 0.0010000,,"[0.09029884952906286, -0.008606811374193057]",,"[0.020314011326718173, 0.003278015778050758]",,,,"[-0.029364889031967323, 0.009753308620020107]","[-0.20563496104659862, -0.03558989003067836]",,"[0.5347768518577141, 0.021218291688455793]",,"[0.27637067485466105, -0.0020830742137150082]","[-0.13828222463018847, -0.012611481049816575]","[0.2285568525128383, 0.031084636225386927]",,,"[-0.46001224681094754, -0.028016542637487873]",
08 11 15 0 15 30.0010000,,"[0.09979379296419211, 0.018989886870258488]",,"[0.020564303616083635, 0.0005005845787309227]",,,,"[-0.014807590142027038, 0.02911459777988057]","[-0.20362455220674747, 0.004020817679702304]",,"[0.5335738360672622, -0.0024060315809038]",,"[0.28920822588406736, 0.025675102058812627]","[-0.1504980829380429, -0.024431716615708865]","[0.2542965461634594, 0.05147938730124224]",,,"[-0.4801809275377309, -0.0403373614535667]",
08 11 15 0 16 0.0010000,,"[0.09333464798692148, -0.012918289954541251]",,"[0.017447765855649777, -0.006233075520867715]",,,,"[-0.034847088276819704, -0.04007899626958533]","[-0.218924652404894, -0.030600200396293076]",,"[0.5367549649754437, 0.006362257816363126]",,"[0.28037534482052706, -0.017665762127080598]","[-0.16730800832237946, -0.03361985076867313]","[0.24619031906604505, -0.01621245419482875]",,,"[-0.5037891026513535, -0.04721635022724513]",
08 11 15 0 16 30.0010000,,"[0.10119865716842469, 0.015728018363006413]",,"[0.02544095822258896, 0.015986384733878367]",,,,"[-0.03187588156106358, 0.00594241343151225]","[-0.24133788625113084, -0.04482646769247367]",,"[0.5292139130119722, -0.015082103926943091]",,"[0.2910813779791397, 0.021412066317225253]","[-0.17069905949711028, -0.006782102349461638]","[0.25435306367694466, 0.016325489221799216]",,,"[-0.5223268500121776, -0.03707549472164828]",
08 11 15 0 17 0.0010000,,"[0.09603941484238021, -0.010318484652088955]",,"[0.007920526844372944, -0.035040862756432034]",,,,"[-0.041209346389223356, -0.018666929656319553]","[-0.236485453287969, 0.009704865926323691]",,"[0.5183706230350253, -0.02168657995389367]",,"[0.291073304048723, -1.614786083337094e-05]","[-0.19069011390058677, -0.039982108806952965]","[0.24860442442968633, -0.01149727849451665]",,,"[-0.5418576900810876, -0.039061680137820076]",
08 11 15 0 17 30.0010000,,"[0.09201052309072111, -0.008057783503318205]",,"[0.013039399365425197, 0.010237745042104507]",,,,"[-0.0436315258311879, -0.00484435888392909]","[-0.25016269330990326, -0.027354480043868534]",,"[0.5362543815813297, 0.035767517092608614]",,"[0.3057759333166814, 0.029405258535916797]","[-0.1984168663393575, -0.015453504877541489]","[0.26906376665328935, 0.04091868444720603]",,,"[-0.5590793863266299, -0.034443392491084523]",
08 11 15 0 18 0.0010000,,"[0.09159067899599904, -0.0008396881894441321]",,"[0.00829192764695108, -0.009494943436948233]",,,,"[-0.04136275121663857, 0.0045375492290986585]","[-0.2525525770306558, -0.004779767441505101]",,"[0.5276960143769429, -0.017116734408773482]",,"[0.30908624518667693, 0.006620623739991061]","[-0.21015636269282822, -0.023478992706941426]","[0.28789217521489263, 0.037656817123206565]",,,"[-0.5777059461834142, -0.037253119713568594]",
08 11 15 0 18 30.0010000,,"[0.09831626353843603, 0.013451169084873982]",,"[0.011287356153843575, 0.005990857013784989]",,,,"[-0.05461207218195341, -0.026498641930629674]","[-0.2590117223080597, -0.012918290554807754]",,"[0.5412682925616537, 0.02714455636942148]",,"[0.32277963306978563, 0.027386775766217397]","[-0.20980918362636203, 0.0006943581329323933]","[0.2793741772179601, -0.017035995993865072]",,,"[-0.5991018646382145, -0.042791836909600534]",
08 11 15 0 19 0.0010000,,"[0.09960809301264817, 0.0025836589484242722]",,"[0.011053212021579384, -0.0004682882645283825]",,,,"[-0.06396975924553772, -0.018715374127168616]","[-0.26145812339382246, -0.004892802171525545]",,"[0.5602178102290054, 0.03789903533470351]",,"[0.2989373133056006, -0.0476846395283701]","[-0.2231715402484724, -0.026724713244220766]","[0.3157068691486984, 0.07266538386147658]",,,"[-0.6248011887837492, -0.05139864829106955]",
08 11 15 0 19 30.0010000,,"[0.11142832842597272, 0.023640470826649107]",,"[0.017762649144515308, 0.013418874245871848]",,,,"[-0.05927073081329581, 0.009398056864483806]","[-0.27040403955834336, -0.01789183232904179]",,"[0.5597333743994568, -0.0009688716590972036]",,"[0.34903605819761196, 0.10019748978402276]","[-0.23790646521990766, -0.029469849942870496]","[0.3327186426101889, 0.03402354692298104]",,,"[-0.6476261924944993, -0.04565000742150005]",
