epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 15 59.9950000,,"[0.047081075608730316, -0.04281070455908775]",,"[-0.18422836437821388, 0.4550386779010296]",,,,"[0.29301920160651207, 0.057116951793432236]","[-0.22651881352066994, -0.22558185830712318]",,"[0.3690727651119232, 0.4666973315179348]",,"[0.09284950792789459, 0.08338217437267303]","[-0.11775673553347588, -0.015375018119812012]","[0.4275979846715927, -1.010289777070284]",,,,"[0.004477169364690781, 0.39460770413279533]",
08 11 15 0 16 29.9950000,,"[0.07978503406047821, -0.45900842174887657]",,"[0.376106396317482, -0.2646655738353729]",,,,"[0.2826243005692959, 0.41860058158636093]","[-0.34827330335974693, -0.19210386276245117]",,"[-0.26840782538056374, 0.9313184581696987]",,"[0.43342112749814987, 0.528338510543108]","[-0.1025787815451622, -0.4872332103550434]","[0.6047221682965755, 0.035656727850437164]",,,,"[-0.18035662546753883, 0.4378903657197952]",
08 11 15 0 16 59.9950000,,"[-0.0363447442650795, -0.253308217972517]",,"[0.18115340918302536, 0.017938677221536636]",,,,"[0.24536758661270142, -0.26202816888689995]","[-0.2190045416355133, -0.31161972880363464]",,"[-0.058920446783304214, 0.0825013667345047]",,"[0.21151022985577583, -0.31887751817703247]","[0.07329266145825386, 0.2047245241701603]","[0.31337737664580345, 0.19285840168595314]",,,,"[0.09383204579353333, -0.0027131885290145874]",
08 11 15 0 17 29.9950000,,"[0.22227133065462112, -0.1236540786921978]",,"[0.024818338453769684, 0.13126107677817345]",,,,"[0.065366480499506, -0.5319620110094547]","[-0.22540942952036858, 0.06235315650701523]",,"[0.4312845878303051, -0.7157233767211437]",,"[-0.0662396177649498, 0.622067503631115]","[0.09573923423886299, -0.07243843376636505]","[0.1408163234591484, -0.3322875387966633]",,,,"[-0.005680397152900696, 0.16408488526940346]",
08 11 15 0 17 59.9950000,,"[-0.04752960056066513, -0.002639923244714737]",,"[0.3309383913874626, 0.03321177884936333]",,,,"[0.5062860921025276, 0.33651483431458473]","[0.08218647912144661, 0.24507592990994453]",,"[-0.2988588660955429, 0.4611709266901016]",,"[0.011256426572799683, -0.20372344553470612]","[0.13513844832777977, 0.263361357152462]","[-0.02010258287191391, 0.08024833723902702]",,,,"[0.24706995859742165, -0.23781582340598106]",
08 11 15 0 18 29.9950000,,"[-0.19941475614905357, -0.04222821071743965]",,"[0.0982341468334198, 0.14199469611048698]",,,,"[-0.38122574239969254, 0.5095894373953342]","[-0.12928709760308266, 0.08637496083974838]",,"[-0.17920132726430893, 0.6906873025000095]",,"[-0.16568956151604652, -0.6895851194858551]","[-0.28032873198390007, 0.7838348709046841]","[0.6622267626225948, -0.012634877115488052]",,,,"[-0.6505491137504578, -0.30946654081344604]",
08 11 15 0 18 59.9950000,,"[0.24025153368711472, 0.24310315772891045]",,"[0.05797000974416733, -0.022486060857772827]",,,,"[-0.3073367699980736, -0.3125777170062065]","[0.030650898814201355, -0.2262699492275715]",,"[0.13480714336037636, 0.19738717004656792]",,"[0.3636149689555168, 0.4994729794561863]","[-0.36193348839879036, 0.010599635541439056]","[0.778667651116848, -0.059810228645801544]",,,,"[-0.31439291313290596, -0.09174639731645584]",
08 11 15 0 19 29.9950000,,"[-0.10241104289889336, 0.35035015270113945]",,"[-0.09567498415708542, -0.19989605993032455]",,,,"[0.3892385736107826, 0.11424950510263443]","[-0.1528691165149212, 0.15190238878130913]",,"[-0.4909007325768471, -0.3337441422045231]",,"[0.38239577412605286, 0.7574904039502144]","[-0.3938116393983364, -0.4582217186689377]","[0.9145393893122673, -0.7016238458454609]",,,,"[0.08970106765627861, 0.6584167629480362]",
08 11 15 0 19 59.9950000,,"[0.04519740492105484, -0.34898747876286507]",,"[0.08034320920705795, 0.10653413459658623]",,,,"[-0.3952248618006706, -0.30462946742773056]","[-0.09510951489210129, -0.05841471254825592]",,"[0.38497160375118256, -0.8789932802319527]",,"[0.4012317508459091, 0.6167824231088161]","[0.1271384209394455, -0.23960939794778824]","[0.19808517023921013, -0.17215867340564728]",,,,"[0.26346516981720924, 0.1268884874880314]",
08 11 15 0 20 29.9950000,,"[0.1048506498336792, 0.7594757713377476]",,"[0.24133294075727463, 0.1196434311568737]",,,,"[-0.38412971049547195, -0.13949434831738472]","[-0.3502941466867924, -0.04456416517496109]",,"[-0.24512327834963799, -0.3561532199382782]",,"[0.20907050743699074, 0.0802973136305809]","[0.17242299765348434, 0.5706958249211311]","[0.19293121248483658, -0.8932362161576748]",,,,"[-0.040724799036979675, -0.5534048192203045]",
