epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 12 0.0000000,"[-0.3140438775221507, 0.27550246957689506]","[0.15151468844463434, -0.4561113550017275]","[-0.7690972367922465, 1.8107579763357837]",,,"[-2.305906855873763, -2.531583817427357]","[-1.5664943176321686, -0.9736604902893304]","[-0.3922429264212648, -0.25710541686664024]",,"[1.6764712194601694, 1.7586781820903221]","[0.06581265587980534, -0.09865810237824935]",
08 11 15 1 12 30.0000000,"[-0.11380776564280193, 0.4001918399706481]","[-0.21350322483728323, -0.18943624037007467]","[-0.6015294323364894, 1.1871738399689395]",,,"[-1.4014786122366782, -3.2916661964108545]","[-0.7179655748419463, -0.8866642329841852]","[0.16224481606235108, -0.42595577916751304]",,"[1.1392440209786097, 1.9536609640965859]","[-0.08284179012601589, 0.17905945815145952]",
08 11 15 1 13 0.0000000,"[-0.21620948414007823, 0.19840098563581687]","[0.3983285594110688, 0.07491249007483347]","[0.6286843736966451, 0.7017780508225162]",,,"[-2.143146985583007, -2.878564463679989]","[-0.9398583042435348, -0.852859816327691]","[0.43891553276528916, 0.20603718676914773]",,"[1.3782210807005564, 1.745011373485128]","[-0.11587969105069851, 0.0380849961191414]",
08 11 15 1 13 30.0000000,"[0.009906778236230207, -0.12064579483121651]","[0.003160687101384063, -0.03838443594674246]","[-0.1920769194761912, 0.12048194961001468]",,,"[-2.0658097205683585, -3.3565871582676965]","[-1.0129494088701905, -0.39136475957930084]","[-0.27061517840872207, 0.043445282367368554]",,"[1.4751236746708551, 1.861179499949018]","[-0.021353415058305014, -0.015587287768721758]",
08 11 15 1 14 0.0000000,"[-0.08745737920204799, -0.042084131203592]","[0.07658300728847589, -0.45289774077633993]","[-0.021522564689318346, -1.1692279611403744]",,,"[-2.2082727042958137, -3.236006619160374]","[-1.4214119258336724, -0.9157155964523553]","[0.2420235171293219, -0.04614946922908225]",,"[1.3676745901505152, 1.5539791426310936]","[-0.1329063389760754, -0.30394262336194533]",
08 11 15 1 14 30.0000000,"[-0.06498691240946453, 0.2371592337265609]","[-0.038835866438845734, -0.8664051129172243]","[-0.510279772679011, -1.1364612464482586]",,,"[-2.156539970450103, -3.551027761523922]","[-1.5854550170712174, -0.9211265955120325]","[0.21852317148198686, 0.5657015673195323]",,"[1.5296723256508509, 2.3679445377240578]","[-0.38632853965585445, -0.839760008081794]",
08 11 15 1 15 0.0000000,"[-0.2105916867653529, 0.08050466720014793]","[0.07465946109344568, -0.11555677490929739]","[-0.4624418000380198, -1.0498586331183712]",,,"[-1.738205173425376, -2.7747985736777383]","[-1.183873103838414, -1.103826618567109]","[-0.0866842076803247, -0.09137261590609946]",,"[1.4954028735558191, 2.456396638477842]","[-0.6204138312799237, -0.9459445502609016]",
08 11 15 1 15 30.0000000,"[-0.07049674342075984, 0.12308264914900047]","[0.03168741048624124, -0.007428301746646326]","[-0.9208482335011164, -0.4272546206290524]",,,"[-2.362346762232482, -2.7699192182471353]","[-1.079037921410054, -0.7663881544023752]","[0.10132499479999146, -0.24357367238650718]",,"[2.1272684941689173, 1.4379889211306969]","[-0.3948251966697476, -0.5591954465955498]",
08 11 15 1 16 0.0000000,"[-0.11490464011828105, 0.2779421323910354]","[0.07135210366298761, 0.16919639868040903]","[-0.024463785688082385, -0.14139250262329983]",,,"[-3.291241416148841, -1.719196976845463]","[-0.9688958394341171, -0.5579253945499658]","[0.1285325332855185, -1.0386861630404989]",,"[1.0507099936405817, 0.9946125439057748]","[0.08717317242796208, -0.058916079625487505]",
08 11 15 1 16 30.0000000,"[-0.13348457763592403, 0.038229953683912576]","[-0.09423531411836539, -0.5141956193993487]","[0.6534816642602285, -0.5793170218045514]",,,"[-4.56465431433171, -2.6662933097531396]","[-1.4642694759182633, -0.6807712230831384]","[-0.11585348403702178, -0.6230100162948171]",,"[1.1943563083807627, 0.9361479124675195]","[-0.0747996632320187, -0.3297950055450203]",
08 11 15 1 17 0.0000000,"[0.05222106178601582, -0.5686248278245332]","[0.08816815347721185, -0.01042964893082754]","[0.7643345316251119, -0.5810344253356259]",,,"[-4.107048937492072, -2.601181359713276]","[-1.3640279117040337, -1.0803773615509271]","[-0.4679757238055269, 0.10192706504215798]",,"[1.5684386948744455, 1.3405446550498406]","[-0.3180029902917645, -0.2950734820216896]",
08 11 15 1 17 30.0000000,"[-0.22760963241259258, -0.3026255404576661]","[0.21336767257501688, 0.22157228154440745]","[-0.03723394672075908, -0.998118716912965]",,,"[-3.2690710065886375, -1.588955418889721]","[-0.8830329644493758, -1.3633202377706766]","[-0.5904791534567873, -0.39401058039317527]",,"[1.4340618709723154, 1.6546235671887795]","[0.00013061721498752732, -0.3678847130388023]",
